Model,Accuracy,Macro-F1,MAE
A: Controls only,0.5761316872427984,0.2898646616541353,0.6562130225471595
B: + Dispersion,0.5761316872427984,0.3244283485259095,0.6545855227864112
C: + Connectivity,0.5637860082304527,0.3157655540408307,0.6588013536891456
D: + Full topology,0.5596707818930041,0.33468819913403947,0.6625246262578169
