season,team,salary_gini,salary_top1_share,salary_top2_share,salary_top3_share,salary_assortativity,n_salary_matched,n_players_thresholded
2023-2024,OKC,0.3780656965231296,0.4756208969731588,0.693264384637218,0.8412207996917447,0.13717976106846655,5,5
2023-2024,ORL,0.25014746185104364,0.21847971767397958,0.4361223483070627,0.6304618150608534,0.21631266986763384,7,7
2023-2024,SAC,0.2428587052909547,0.31262433327349687,0.606068719516007,0.7690933785396237,0.19104949368848012,5,5
2023-2024,SAS,0.25261297890217715,0.3353618280080522,0.6082647121019028,0.7706385737417767,0.030080284506740558,5,5
2023-2024,TOR,0.20886716483669887,0.7088671648366989,1.0,1.0,,2,5
2023-2024,WAS,0.25633798941519115,0.3746293240793793,0.723508078072582,0.9145385766784209,-0.3458879236029422,4,5
2024-2025,ATL,0.45698898006261796,0.41246565105836525,0.625880691402742,0.760072157435115,-0.20451842384582639,7,7
2024-2025,BOS,0.23481789847075843,0.28460119654218846,0.486160347323377,0.6596772070485649,-0.22654590233041783,6,6
2024-2025,CHI,0.1754123316025895,0.3427453080009591,0.6512160852018223,0.8568632700023977,-0.07122862002325496,4,5
2024-2025,CLE,0.240164772370529,0.3097233956989756,0.6083537938905782,0.7770224094387632,0.09847509095047034,5,5
2024-2025,DEN,0.38549172539475657,0.33709411124803557,0.5732241791178758,0.8083298378855713,-0.15433741988269611,6,6
2024-2025,DET,0.293140110298488,0.3320575804720638,0.5440381890146091,0.7265335745972578,-0.02882057203969123,6,6
2024-2025,HOU,0.3738069099824415,0.41993866548924275,0.6380642287391094,0.7604102884770411,-0.23180147024021017,6,6
2024-2025,IND,0.42086488712186254,0.33863918968431433,0.6772783793686287,0.8372866088909173,0.3211339229272288,6,6
2024-2025,LAC,0.38909614419830635,0.3828171311790401,0.6446413222065452,0.794337689478465,-0.14454824510269557,6,6
2024-2025,MEM,0.3863274908947769,0.3568968724655378,0.687356939563258,0.9328100275958606,0.2527942050389297,5,5
2024-2025,MIL,0.4511809298800765,0.391696700586107,0.783393401172214,0.9680511846968989,-0.2400458745129329,5,5
2024-2025,MIN,0.2284783901426115,0.28820455114715743,0.5655511161850532,0.7830409470937643,-0.2558453382502904,5,5
2024-2025,NYK,0.19825985060808762,0.32319561697513094,0.5638424317293447,0.7277857661105536,-0.19814819363609948,5,5
2024-2025,OKC,0.373766379452548,0.3868738253384153,0.710527783588565,0.8885374606261475,-0.1287155689286847,5,5
2024-2025,POR,0.2924956456584972,0.31718849118121323,0.5950886438042315,0.8366085912439474,-0.07031532264198545,5,5
2024-2025,SAC,0.2803816867387201,0.44942691576517824,0.7090958004295034,0.9022406572827584,-0.23623686567661306,4,5
2024-2025,WAS,0.3102239236598079,0.8102239236598078,1.0,1.0,,2,5
