Model,Accuracy,Macro-F1,MAE
A: Controls only,0.5761316872427984,0.2898646616541353,0.6562130225471595
B: + Salary dispersion,0.5308641975308642,0.2651819923371648,0.6511338606811625
C: + Connectivity,0.5473251028806584,0.3188222730294827,0.6653072820815004
D: + Full topology,0.5432098765432098,0.3134653100768921,0.6633896865612811
