Team,PG,SG,SF,PF,C,Poss,Diff Rank,Diff,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
League Averages,,,,,,,,,,114.8,,54.6%,,14.3%,,28.1%,,19.0,,114.8,,54.6%,,14.3%,,28.1%,,19.0
NYK,Jalen Brunson,Josh Hart,Mikal Bridges,OG Anunoby,Karl-Anthony Towns,1898,51,+4.1,62,119.9,50,57.1%,56,13.2%,56,27.2%,61,18.9,40,115.8,36,56.1%,44,13.6%,52,27.1%,62,15.0
MIN,Mike Conley,Anthony Edwards,Jaden McDaniels,Julius Randle,Rudy Gobert,1431,53,+4.8,38,114.9,51,57.1%,25,15.8%,53,26.6%,44,17.1,62,110.1,47,55.1%,52,14.2%,63,25.5%,83,12.3
DET,Cade Cunningham,Ausar Thompson,Tim Hardaway Jr.,Tobias Harris,Jalen Duren,1037,57,+6.5,47,117.1,42,55.7%,31,15.3%,87,34.5%,34,15.6,61,110.5,46,55.2%,63,15.1%,74,23.6%,38,18.1
HOU,Fred VanVleet,Jalen Green,Dillon Brooks,Jabari Smith Jr.,Alperen Sengun,929,59,+7.3,28,111.3,8,49.1%,70,12.2%,75,30.8%,64,19.4,83,104.0,68,52.4%,52,14.1%,70,24.6%,63,14.7
SAC,De'Aaron Fox,Malik Monk,DeMar DeRozan,Keegan Murray,Domantas Sabonis,909,43,+1.2,50,117.7,31,54.2%,82,11.2%,47,25.5%,64,19.4,38,116.5,26,57.6%,69,15.6%,61,25.6%,22,20.9
DEN,Jamal Murray,Christian Braun,Michael Porter,Aaron Gordon,Nikola Jokic,895,72,+12.8,83,127.9,84,61.7%,58,13.1%,66,28.9%,64,19.5,42,115.2,43,55.4%,24,11.6%,62,25.5%,59,15.3
IND,Tyrese Haliburton,Andrew Nembhard,Bennedict Mathurin,Pascal Siakam,Myles Turner,891,74,+13.2,47,117.1,51,57.2%,69,12.2%,22,21.5%,68,20.2,83,103.9,73,51.8%,53,14.2%,83,21.9%,64,14.6
IND,Tyrese Haliburton,Andrew Nembhard,Aaron Nesmith,Pascal Siakam,Myles Turner,789,71,+12.2,63,120.7,69,59.7%,81,11.3%,9,18.4%,32,15.3,68,108.4,62,53.3%,67,15.5%,30,29.8%,51,16.2
DEN,Russell Westbrook,Jamal Murray,Christian Braun,Michael Porter,Nikola Jokic,766,50,+3.0,80,127.2,73,60.2%,76,11.6%,68,29.6%,50,17.8,14,124.2,15,59.3%,25,11.7%,35,29.2%,79,12.8
BOS,Jrue Holiday,Derrick White,Jaylen Brown,Jayson Tatum,Kristaps Porzingis,760,39,-0.0,37,114.2,40,55.5%,78,11.6%,16,19.8%,52,18.0,47,114.2,53,54.5%,32,12.2%,66,25.1%,46,17.3
LAC,James Harden,Kris Dunn,Norman Powell,Derrick Jones Jr.,Ivica Zubac,682,64,+10.0,40,115.2,41,55.6%,47,13.9%,58,27.5%,56,18.5,80,105.3,60,53.6%,93,18.8%,52,27.1%,53,16.0
OKC,Shai Gilgeous-Alexander,Cason Wallace,Luguentz Dort,Jalen Williams,Isaiah Hartenstein,668,77,+15.4,48,117.2,39,55.4%,90,9.9%,45,25.2%,40,16.4,88,101.8,83,49.9%,81,16.8%,46,28.1%,41,17.7
MIL,Damian Lillard,Andre Jackson Jr.,Taurean Prince,Giannis Antetokounmpo,Brook Lopez,653,34,-2.2,27,110.9,50,57.1%,35,14.9%,35,23.6%,25,14.3,52,113.0,38,56.0%,39,13.0%,79,22.6%,55,15.8
HOU,Fred VanVleet,Amen Thompson,Jalen Green,Dillon Brooks,Alperen Sengun,649,24,-7.4,26,110.6,11,50.3%,83,10.9%,39,24.4%,48,17.6,31,118.0,22,58.2%,87,17.4%,5,35.4%,53,16.0
ATL,Trae Young,Dyson Daniels,Zaccharie Risacher,Jalen Johnson,Clint Capela,623,41,+0.2,28,111.7,42,55.6%,34,14.9%,74,30.8%,15,13.0,56,111.5,34,56.6%,58,14.7%,59,25.8%,74,13.5
LAC,James Harden,Kris Dunn,Norman Powell,Kawhi Leonard,Ivica Zubac,584,63,+9.4,54,118.2,61,58.3%,61,12.8%,32,23.4%,49,17.7,67,108.8,37,56.0%,76,16.4%,91,20.4%,66,14.4
ATL,Trae Young,Dyson Daniels,Zaccharie Risacher,Mouhamed Gueye,Onyeka Okongwu,554,58,+7.3,43,115.7,55,57.6%,27,15.7%,74,30.6%,18,13.5,69,108.4,30,57.1%,94,19.1%,57,26.1%,26,19.9
CHI,Josh Giddey,Coby White,Zach LaVine,Patrick Williams,Nikola Vucevic,552,32,-3.4,22,108.9,38,55.3%,37,14.7%,28,22.9%,27,14.6,55,112.3,50,54.9%,17,10.8%,81,22.3%,85,11.7
BOS,Jrue Holiday,Derrick White,Jaylen Brown,Jayson Tatum,Al Horford,546,84,+19.1,76,125.1,83,61.4%,83,11.0%,18,20.5%,42,16.7,78,106.0,82,50.2%,24,11.6%,63,25.4%,67,14.2
DET,Cade Cunningham,Jaden Ivey,Tim Hardaway Jr.,Tobias Harris,Jalen Duren,530,33,-3.1,61,119.6,71,59.8%,28,15.7%,82,33.2%,33,15.3,18,122.7,11,60.4%,25,11.7%,72,23.8%,58,15.5
