Team,PG,SG,SF,PF,C,Poss,Diff Rank,Diff,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
CLE,Darius Garland,Donovan Mitchell,Max Strus,Evan Mobley,Jarrett Allen,523,67,+11.5,57,118.7,62,58.3%,37,14.7%,77,31.2%,54,18.2,74,107.3,64,52.9%,36,12.6%,75,23.5%,55,15.8
POR,Anfernee Simons,Toumani Camara,Deni Avdija,Jerami Grant,Deandre Ayton,513,13,-14.1,10,102.9,5,47.9%,47,14.0%,62,28.4%,43,16.9,36,117.1,31,56.9%,49,14.0%,32,29.6%,36,18.6
MEM,Ja Morant,Desmond Bane,Jaylen Wells,Jaren Jackson,Zach Edey,499,94,+27.1,82,127.9,63,58.4%,64,12.6%,83,33.8%,76,21.4,91,100.8,85,49.4%,49,13.9%,87,21.2%,34,18.9
WAS,Jordan Poole,Carlton Carrington,Bilal Coulibaly,Kyle Kuzma,Alexandre Sarr,464,1,-33.5,1,87.3,2,44.4%,41,14.4%,9,18.2%,9,11.1,24,120.8,17,58.9%,43,13.5%,54,26.7%,38,18.4
NOP,Dejounte Murray,CJ McCollum,Trey Murphy III,Herbert Jones,Yves Missi,460,25,-7.2,38,114.6,38,55.3%,24,16.1%,71,30.0%,60,18.9,20,121.8,16,59.0%,61,14.9%,25,30.7%,17,22.0
GSW,Stephen Curry,Brandin Podziemski,Moses Moody,Jimmy Butler,Draymond Green,459,83,+17.9,65,120.9,66,59.2%,51,13.5%,51,26.0%,88,24.4,85,103.1,36,56.4%,96,19.7%,75,23.4%,90,10.4
SAC,Keon Ellis,Zach LaVine,DeMar DeRozan,Keegan Murray,Domantas Sabonis,444,36,-1.7,31,112.6,53,57.4%,64,12.6%,12,19.1%,18,13.6,46,114.3,42,55.6%,32,12.2%,72,24.0%,59,15.3
ORL,Cory Joseph,Kentavious Caldwell-Pope,Franz Wagner,Paolo Banchero,Wendell Carter,431,64,+10.2,42,115.5,39,55.4%,67,12.3%,36,23.9%,53,18.1,80,105.3,62,53.1%,71,15.7%,61,25.6%,43,17.7
MIN,Anthony Edwards,Donte DiVincenzo,Jaden McDaniels,Julius Randle,Rudy Gobert,430,50,+3.2,55,118.4,49,56.9%,33,15.1%,90,35.8%,46,17.2,42,115.2,74,51.7%,24,11.7%,27,30.5%,76,13.2
MIL,Damian Lillard,Taurean Prince,Kyle Kuzma,Giannis Antetokounmpo,Brook Lopez,428,57,+6.7,45,116.4,59,58.1%,44,14.3%,25,22.4%,41,16.5,64,109.6,66,52.7%,8,9.4%,92,20.3%,71,13.7
DET,Cade Cunningham,Malik Beasley,Tim Hardaway Jr.,Tobias Harris,Jalen Duren,425,33,-2.7,61,119.8,64,58.5%,29,15.5%,25,22.5%,95,28.2,18,122.5,8,61.7%,54,14.5%,86,21.4%,20,21.4
LAL,Austin Reaves,Max Christie,Rui Hachimura,LeBron James,Anthony Davis,425,43,+0.8,21,108.7,36,55.0%,26,15.8%,45,25.3%,61,19.0,71,107.9,58,54.1%,51,14.0%,84,21.7%,87,11.1
CLE,Darius Garland,Donovan Mitchell,Dean Wade,Evan Mobley,Jarrett Allen,421,54,+5.1,51,117.8,66,59.2%,76,11.6%,31,23.2%,21,13.9,53,112.7,52,54.6%,48,13.9%,36,29.1%,68,14.2
SAC,Zach LaVine,Malik Monk,DeMar DeRozan,Keegan Murray,Domantas Sabonis,412,26,-6.9,53,118.0,44,56.2%,34,15.0%,67,29.5%,59,18.8,12,124.9,18,58.8%,2,7.1%,84,21.6%,43,17.6
LAC,James Harden,Norman Powell,Kawhi Leonard,Derrick Jones Jr.,Ivica Zubac,412,88,+22.1,75,125.0,79,61.1%,72,11.9%,64,28.7%,22,14.2,86,102.9,56,54.3%,66,15.3%,99,17.3%,80,12.6
UTA,Keyonte George,Collin Sexton,Lauri Markkanen,John Collins,Walker Kessler,399,62,+9.2,79,126.3,80,61.1%,9,18.5%,97,40.7%,76,21.4,34,117.2,37,56.1%,5,8.5%,92,20.0%,56,15.7
SAC,Keon Ellis,Malik Monk,DeMar DeRozan,Keegan Murray,Domantas Sabonis,390,87,+20.9,81,127.2,45,56.2%,79,11.5%,70,29.9%,62,19.2,77,106.3,83,49.9%,61,14.9%,46,28.1%,59,15.3
MIL,Damian Lillard,Gary Trent Jr.,Taurean Prince,Giannis Antetokounmpo,Brook Lopez,388,44,+1.3,68,122.4,74,60.3%,84,10.8%,2,15.0%,96,30.4,22,121.1,47,55.1%,16,10.5%,50,27.4%,11,23.6
SAC,De'Aaron Fox,Kevin Huerter,DeMar DeRozan,Keegan Murray,Domantas Sabonis,386,61,+8.7,41,115.3,61,58.2%,39,14.5%,34,23.6%,62,19.2,76,106.6,78,51.0%,74,16.1%,49,27.6%,70,13.7
MIA,Tyler Herro,Duncan Robinson,Haywood Highsmith,Jimmy Butler,Bam Adebayo,379,52,+4.8,56,118.5,60,58.2%,59,12.9%,55,27.1%,14,12.6,50,113.7,29,57.1%,30,12.1%,96,18.5%,68,13.9
ORL,Cole Anthony,Kentavious Caldwell-Pope,Franz Wagner,Paolo Banchero,Wendell Carter,372,76,+14.3,51,117.7,29,53.8%,56,13.2%,62,28.4%,73,21.1,84,103.5,72,51.9%,87,17.4%,45,28.2%,22,20.9
SAS,Chris Paul,Stephon Castle,Julian Champagnie,Harrison Barnes,Victor Wembanyama,366,71,+12.3,75,124.9,72,59.9%,75,11.7%,40,24.6%,76,21.6,54,112.5,52,54.6%,23,11.4%,64,25.4%,91,10.3
MIN,Anthony Edwards,Donte DiVincenzo,Nickeil Alexander-Walker,Julius Randle,Naz Reid,365,75,+13.6,95,134.8,89,62.9%,81,11.2%,48,25.6%,59,18.7,21,121.2,39,55.9%,50,14.0%,20,31.6%,24,20.5
OKC,Shai Gilgeous-Alexander,Luguentz Dort,Jalen Williams,Chet Holmgren,Isaiah Hartenstein,365,76,+14.8,77,125.8,87,62.1%,52,13.4%,76,31.2%,35,15.8,59,111.0,44,55.4%,46,13.7%,68,24.7%,42,17.7
NYK,Miles McBride,Josh Hart,Mikal Bridges,OG Anunoby,Karl-Anthony Towns,361,52,+4.7,58,118.8,27,53.4%,93,9.7%,73,30.3%,28,14.7,47,114.2,58,53.9%,75,16.1%,16,32.4%,51,16.2
LAC,James Harden,Kris Dunn,Amir Coffey,Derrick Jones Jr.,Ivica Zubac,352,34,-2.4,19,108.0,30,54.2%,14,17.6%,67,29.5%,32,15.3,62,110.4,62,53.2%,57,14.7%,82,22.2%,47,17.1
SAS,Chris Paul,Stephon Castle,Devin Vassell,Harrison Barnes,Victor Wembanyama,348,67,+11.3,72,123.9,76,60.6%,86,10.6%,42,24.8%,46,17.3,53,112.5,39,55.8%,21,11.1%,62,25.6%,92,9.8
TOR,Davion Mitchell,Ochai Agbaji,Gradey Dick,RJ Barrett,Jakob Poeltl,347,47,+2.4,57,118.7,25,53.2%,85,10.7%,72,30.2%,60,18.8,39,116.3,59,53.9%,40,13.2%,28,30.1%,13,22.8
CLE,Darius Garland,Donovan Mitchell,Isaac Okoro,Evan Mobley,Jarrett Allen,343,54,+5.3,71,123.3,88,62.5%,53,13.4%,41,24.8%,36,16.0,32,118.0,33,56.7%,47,13.9%,40,28.9%,47,16.9
DEN,Jamal Murray,Christian Braun,Peyton Watson,Michael Porter,Nikola Jokic,342,68,+11.7,86,129.2,92,63.8%,75,11.7%,75,31.0%,42,16.6,33,117.6,44,55.4%,22,11.3%,58,25.9%,87,11.1
LAC,James Harden,Terance Mann,Norman Powell,Derrick Jones Jr.,Ivica Zubac,337,18,-10.7,29,111.9,15,51.1%,26,15.7%,81,33.1%,66,19.7,18,122.6,7,62.5%,41,13.4%,94,19.6%,43,17.6
POR,Anfernee Simons,Shaedon Sharpe,Toumani Camara,Deni Avdija,Donovan Clingan,319,46,+2.3,41,115.4,23,52.6%,57,13.2%,94,37.8%,23,14.3,52,113.1,70,52.3%,46,13.7%,41,28.8%,34,18.8
HOU,Amen Thompson,Jalen Green,Dillon Brooks,Tari Eason,Alperen Sengun,308,88,+22.3,95,133.1,90,62.9%,89,10.1%,62,28.5%,19,13.6,60,110.8,63,53.1%,80,16.8%,7,34.8%,24,20.2
ORL,Jalen Suggs,Kentavious Caldwell-Pope,Franz Wagner,Tristan daSilva,Goga Bitadze,300,37,-0.7,23,109.3,16,51.3%,37,14.7%,66,29.4%,45,17.1,62,110.0,58,53.9%,53,14.3%,79,22.5%,17,22.0
MIL,Ryan Rollins,Taurean Prince,Kyle Kuzma,Giannis Antetokounmpo,Brook Lopez,294,73,+13.0,89,130.3,99,68.4%,78,11.6%,10,18.6%,66,20.0,34,117.2,38,55.9%,17,10.8%,36,29.2%,81,12.5
CHI,Josh Giddey,Coby White,Kevin Huerter,Matas Buzelis,Nikola Vucevic,294,50,+3.3,66,121.4,76,60.7%,50,13.6%,72,30.1%,57,18.7,31,118.1,33,56.7%,4,8.4%,87,21.3%,79,13.0
SAS,Chris Paul,Stephon Castle,Devin Vassell,Harrison Barnes,Bismack Biyombo,286,19,-9.8,42,115.4,84,61.5%,68,12.2%,15,19.7%,7,10.5,11,125.2,11,60.9%,61,14.9%,15,32.8%,86,11.3
POR,Anfernee Simons,Shaedon Sharpe,Toumani Camara,Jerami Grant,Deandre Ayton,283,1,-31.3,2,93.6,4,46.2%,6,19.1%,42,25.0%,12,12.3,12,124.9,4,63.6%,18,10.9%,82,22.1%,74,13.4
SAS,Chris Paul,Devin Vassell,Jeremy Sochan,Harrison Barnes,Victor Wembanyama,280,78,+15.7,46,116.4,54,57.5%,65,12.5%,21,21.4%,55,18.3,92,100.7,89,47.9%,25,11.7%,51,27.2%,88,10.9
MIN,Anthony Edwards,Nickeil Alexander-Walker,Jaden McDaniels,Julius Randle,Rudy Gobert,277,51,+4.5,36,114.1,16,51.6%,41,14.4%,81,32.9%,74,21.1,65,109.5,67,52.6%,72,15.9%,32,29.7%,34,18.8
DEN,Russell Westbrook,Christian Braun,Michael Porter,Aaron Gordon,Nikola Jokic,277,91,+24.1,92,131.0,93,64.1%,25,15.9%,93,37.4%,69,20.4,74,106.9,70,52.2%,71,15.7%,24,30.9%,83,12.4
POR,Anfernee Simons,Shaedon Sharpe,Toumani Camara,Deni Avdija,Deandre Ayton,274,45,+1.5,39,115.0,68,59.4%,32,15.3%,29,23.1%,39,16.3,51,113.4,76,51.4%,47,13.8%,30,29.9%,47,16.9
SAS,Chris Paul,De'Aaron Fox,Devin Vassell,Harrison Barnes,Bismack Biyombo,266,19,-9.5,20,108.3,36,55.0%,62,12.8%,33,23.5%,5,10.0,32,117.8,64,53.1%,31,12.1%,5,35.9%,78,13.0
TOR,Davion Mitchell,Gradey Dick,RJ Barrett,Scottie Barnes,Jakob Poeltl,261,32,-3.3,25,110.3,39,55.3%,21,16.5%,57,27.3%,43,16.8,50,113.6,27,57.5%,60,14.8%,71,24.2%,21,21.3
MIN,Anthony Edwards,Donte DiVincenzo,Nickeil Alexander-Walker,Naz Reid,Rudy Gobert,261,82,+17.6,58,118.8,94,64.2%,24,16.1%,7,17.3%,36,15.8,89,101.2,76,51.5%,93,18.9%,93,19.7%,18,21.8
CHA,LaMelo Ball,Nick Smith Jr.,Josh Green,Miles Bridges,Mark Williams,259,14,-12.7,12,104.2,6,48.3%,30,15.4%,61,28.1%,50,17.8,36,117.0,28,57.3%,63,15.1%,55,26.6%,25,20.0
NYK,Jalen Brunson,Josh Hart,Mikal Bridges,OG Anunoby,Precious Achiuwa,254,16,-12.2,21,108.7,34,54.7%,10,18.5%,65,28.8%,92,26.6,23,120.9,15,59.6%,70,15.7%,49,27.5%,15,22.4
PHX,Tyus Jones,Devin Booker,Bradley Beal,Kevin Durant,Jusuf Nurkic,254,10,-17.8,15,105.5,55,57.6%,38,14.6%,0,10.4%,4,8.8,17,123.3,22,58.2%,27,11.9%,38,29.1%,19,21.7
MIL,Damian Lillard,AJ Green,Gary Trent Jr.,Bobby Portis,Brook Lopez,250,86,+20.4,70,122.8,83,61.4%,67,12.4%,14,19.6%,23,14.3,87,102.4,87,48.7%,12,10.0%,76,23.1%,50,16.4
MIN,Mike Conley,Donte DiVincenzo,Nickeil Alexander-Walker,Naz Reid,Rudy Gobert,249,92,+24.5,50,117.7,57,57.9%,54,13.3%,69,29.7%,49,17.6,98,93.2,93,46.9%,65,15.3%,55,26.5%,89,10.8
MIA,Terry Rozier,Tyler Herro,Jaime Jaquez Jr.,Haywood Highsmith,Bam Adebayo,248,11,-16.5,4,98.0,4,46.6%,65,12.5%,18,20.6%,55,18.3,45,114.5,49,54.9%,66,15.3%,14,33.1%,94,9.0
GSW,Brandin Podziemski,Moses Moody,Jimmy Butler,Draymond Green,Quinten Post,248,78,+16.0,22,109.3,28,53.6%,65,12.5%,44,25.2%,38,16.3,98,93.2,84,49.5%,96,19.9%,68,24.8%,92,10.3
DAL,Luka Doncic,Kyrie Irving,Klay Thompson,PJ Washington,Dereck Lively II,246,93,+25.6,89,130.5,75,60.4%,74,11.8%,89,35.6%,32,15.3,82,104.9,69,52.3%,84,17.1%,26,30.6%,50,16.4
MIA,Davion Mitchell,Tyler Herro,Andrew Wiggins,Bam Adebayo,Kel'el Ware,242,42,+0.3,41,115.3,48,56.9%,32,15.3%,24,22.2%,84,23.6,44,115.0,24,57.9%,67,15.4%,78,22.7%,49,16.7
DEN,Russell Westbrook,Christian Braun,Peyton Watson,Michael Porter,Nikola Jokic,241,41,0.0,67,121.6,93,64.2%,15,17.4%,46,25.3%,81,22.7,21,121.5,24,58.0%,72,15.9%,24,30.9%,48,16.8
MEM,Ja Morant,Desmond Bane,Jaylen Wells,Brandon Clarke,Jaren Jackson,236,46,+2.3,60,119.5,67,59.4%,17,17.4%,75,30.9%,92,26.5,34,117.2,45,55.3%,57,14.7%,22,31.1%,39,18.0
NYK,Jalen Brunson,Josh Hart,Mikal Bridges,Precious Achiuwa,Karl-Anthony Towns,236,56,+6.4,67,121.6,23,52.6%,19,16.9%,96,40.3%,75,21.1,42,115.2,23,58.0%,59,14.8%,43,28.6%,54,16.0
ATL,Trae Young,Dyson Daniels,DeAndre Hunter,Jalen Johnson,Clint Capela,233,74,+13.3,37,114.2,17,51.7%,84,10.7%,79,31.9%,93,27.3,89,100.9,69,52.3%,95,19.3%,70,24.6%,67,14.4
WAS,Jordan Poole,Carlton Carrington,Kyshawn George,Bilal Coulibaly,Alexandre Sarr,229,16,-11.8,7,100.4,7,48.5%,74,11.8%,29,23.0%,50,17.8,55,112.3,78,51.2%,50,14.0%,3,36.3%,30,19.4
NYK,Jalen Brunson,Josh Hart,Mikal Bridges,OG Anunoby,Jericho Sims,228,28,-5.5,18,107.0,12,50.7%,39,14.5%,82,33.3%,13,12.6,54,112.5,28,57.1%,53,14.3%,71,24.1%,62,14.8
CHI,Coby White,Ayo Dosunmu,Zach LaVine,Patrick Williams,Nikola Vucevic,227,36,-1.0,32,112.8,32,54.3%,50,13.7%,8,17.8%,81,22.8,49,113.7,68,52.4%,6,8.6%,72,24.0%,75,13.3
TOR,Immanuel Quickley,Gradey Dick,RJ Barrett,Scottie Barnes,Jakob Poeltl,227,22,-8.4,8,101.3,21,52.2%,55,13.2%,29,23.1%,4,9.4,63,109.7,29,57.1%,62,15.0%,93,19.8%,51,16.3
CHI,Josh Giddey,Coby White,Ayo Dosunmu,Zach LaVine,Nikola Vucevic,226,35,-2.1,62,120.4,91,63.2%,54,13.3%,10,18.8%,30,15.0,19,122.5,25,57.7%,3,7.9%,84,21.7%,42,17.7
MIL,Damian Lillard,AJ Green,Taurean Prince,Giannis Antetokounmpo,Brook Lopez,225,80,+16.9,40,115.1,22,52.3%,60,12.9%,17,20.3%,95,28.2,93,98.2,97,45.5%,29,11.9%,88,20.8%,24,20.5
LAL,D'Angelo Russell,Austin Reaves,Rui Hachimura,LeBron James,Anthony Davis,225,62,+8.9,30,112.0,18,51.8%,45,14.2%,67,29.5%,85,23.7,85,103.1,80,50.7%,49,14.0%,63,25.4%,71,13.7
BOS,Payton Pritchard,Jayson Tatum,Sam Hauser,Al Horford,Luke Kornet,225,65,+10.5,55,118.2,13,50.8%,78,11.6%,88,35.1%,8,11.0,72,107.8,91,47.7%,46,13.7%,27,30.4%,58,15.5
MIN,Anthony Edwards,Donte DiVincenzo,Jaden McDaniels,Julius Randle,Naz Reid,224,21,-8.9,28,111.6,10,50.3%,88,10.3%,16,20.2%,95,28.2,24,120.5,24,57.9%,59,14.7%,43,28.6%,93,9.3
MIN,Mike Conley,Anthony Edwards,Jaden McDaniels,Naz Reid,Rudy Gobert,221,95,+29.4,92,130.8,46,56.4%,69,12.2%,89,35.5%,62,19.2,89,101.4,76,51.3%,66,15.3%,90,20.6%,45,17.5
MEM,Luke Kennard,Desmond Bane,Jaylen Wells,Jaren Jackson,Zach Edey,220,17,-10.8,72,123.6,82,61.4%,46,14.1%,91,36.3%,28,14.6,4,134.4,4,63.6%,16,10.7%,33,29.6%,71,13.6
LAL,Luka Doncic,Austin Reaves,Rui Hachimura,LeBron James,Jaxson Hayes,219,47,+2.4,30,112.3,62,58.3%,21,16.4%,32,23.4%,63,19.3,63,110.0,34,56.5%,18,10.9%,96,18.1%,68,14.1
ATL,Trae Young,Dyson Daniels,Caris LeVert,Georges Niang,Onyeka Okongwu,219,70,+12.2,93,132.4,58,58.0%,54,13.2%,27,22.8%,99,33.5,25,120.2,26,57.5%,31,12.1%,57,26.2%,23,20.6
LAL,Luka Doncic,Austin Reaves,Dorian Finney-Smith,Rui Hachimura,LeBron James,219,84,+19.4,91,130.6,96,65.4%,54,13.2%,82,33.3%,9,11.4,58,111.2,48,54.9%,76,16.4%,50,27.4%,74,13.5
BKN,D'Angelo Russell,Keon Johnson,Ziaire Williams,Cameron Johnson,Nicolas Claxton,217,5,-23.0,1,88.5,1,43.3%,28,15.7%,26,22.6%,11,11.8,57,111.5,32,56.8%,47,13.8%,70,24.5%,72,13.5
DEN,Russell Westbrook,Jamal Murray,Michael Porter,Aaron Gordon,Nikola Jokic,215,73,+12.9,96,134.9,85,62.0%,76,11.6%,89,35.4%,53,18.0,20,122.0,17,58.9%,20,11.0%,92,20.0%,40,17.9
DET,Marcus Sasser,Malik Beasley,Simone Fontecchio,Ron Holland II,Isaiah Stewart,215,21,-8.8,34,113.5,70,59.7%,11,18.1%,45,25.3%,37,16.1,19,122.3,66,52.8%,33,12.3%,20,31.6%,5,26.3
IND,Tyrese Haliburton,Quenton Jackson,Bennedict Mathurin,Pascal Siakam,Myles Turner,214,30,-4.9,43,115.9,50,57.1%,11,18.2%,78,31.6%,70,20.7,24,120.8,27,57.4%,29,12.0%,53,26.9%,38,18.4
IND,Tyrese Haliburton,Andrew Nembhard,Bennedict Mathurin,Obi Toppin,Myles Turner,213,49,+2.7,59,119.2,37,55.2%,63,12.7%,49,25.7%,83,23.0,38,116.6,86,48.8%,37,12.8%,3,37.2%,52,16.1
MIN,Anthony Edwards,Donte DiVincenzo,Jaden McDaniels,Naz Reid,Rudy Gobert,212,65,+10.4,36,113.7,26,53.4%,4,19.8%,93,37.4%,54,18.1,84,103.3,89,47.9%,54,14.4%,73,23.7%,29,19.7
HOU,Fred VanVleet,Jalen Green,Dillon Brooks,Tari Eason,Alperen Sengun,212,62,+8.9,59,119.3,20,52.0%,68,12.3%,79,31.9%,80,22.5,61,110.4,77,51.3%,37,12.8%,37,29.1%,34,18.8
HOU,Amen Thompson,Jalen Green,Dillon Brooks,Jabari Smith Jr.,Alperen Sengun,211,59,+7.5,33,113.3,19,51.8%,62,12.8%,92,36.7%,66,19.6,78,105.8,71,52.1%,13,10.1%,88,21.1%,96,8.2
IND,Tyrese Haliburton,Ben Sheppard,Bennedict Mathurin,Pascal Siakam,Myles Turner,210,27,-5.8,31,112.4,25,53.0%,87,10.5%,33,23.5%,15,13.0,30,118.2,75,51.5%,15,10.5%,25,30.7%,30,19.3
SAS,Chris Paul,Julian Champagnie,Jeremy Sochan,Harrison Barnes,Victor Wembanyama,206,29,-5.0,12,104.4,14,51.1%,21,16.5%,72,30.2%,36,15.9,66,109.4,83,49.7%,26,11.8%,51,27.2%,57,15.5
BKN,Dennis Schroder,Cameron Thomas,Cameron Johnson,Dorian Finney-Smith,Nicolas Claxton,206,79,+16.6,66,121.4,47,56.6%,46,14.1%,47,25.5%,67,20.2,82,104.7,63,53.1%,83,17.0%,25,30.7%,31,19.2
ATL,Trae Young,Dyson Daniels,DeAndre Hunter,Jalen Johnson,Onyeka Okongwu,205,61,+8.8,85,128.8,56,57.6%,7,19.0%,96,38.9%,100,40.0,26,120.0,51,54.7%,38,12.9%,12,33.7%,11,23.6
OKC,Shai Gilgeous-Alexander,Cason Wallace,Luguentz Dort,Jalen Williams,Chet Holmgren,204,87,+20.6,54,118.1,49,56.9%,95,8.8%,16,20.2%,25,14.4,94,97.5,93,47.0%,89,17.7%,49,27.5%,53,16.0
LAL,Luka Doncic,Austin Reaves,Dorian Finney-Smith,LeBron James,Jaxson Hayes,204,38,-0.6,58,119.1,58,58.0%,97,8.3%,1,14.0%,94,27.8,28,119.7,56,54.3%,11,9.9%,55,26.4%,23,20.7
DET,Cade Cunningham,Malik Beasley,Simone Fontecchio,Ron Holland II,Isaiah Stewart,203,25,-7.0,4,98.5,4,46.2%,80,11.3%,37,23.9%,37,16.2,79,105.5,84,49.7%,55,14.5%,67,25.0%,21,21.1
MIN,Mike Conley,Anthony Edwards,Jaden McDaniels,Julius Randle,Naz Reid,202,38,-0.6,37,114.4,47,56.8%,35,14.9%,9,18.1%,83,23.1,43,115.0,49,54.9%,50,14.0%,66,25.3%,60,15.2
