Team,PG,SG,SF,PF,C,Poss,Diff Rank,Diff,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
League Averages,,,,,,,,,,115.6,,54.9%,,13.7%,,26.8%,,19.2,,115.6,,54.9%,,13.7%,,26.8%,,19.2
DEN,Jamal Murray,Kentavious Caldwell-Pope,Michael Porter,Aaron Gordon,Nikola Jokic,1923,76,+13.0,84,127.2,75,59.7%,68,11.8%,73,30.3%,50,18.2,52,114.2,48,55.2%,43,12.7%,62,23.7%,64,15.4
OKC,Shai Gilgeous-Alexander,Jalen Williams,Luguentz Dort,Josh Giddey,Chet Holmgren,1708,66,+9.0,58,120.0,70,58.9%,78,11.1%,21,21.0%,40,16.6,64,111.0,69,52.7%,72,14.8%,25,29.4%,48,17.5
HOU,Fred VanVleet,Jalen Green,Dillon Brooks,Jabari Smith Jr.,Alperen Sengun,1548,46,+0.7,35,113.3,36,54.0%,58,12.7%,43,24.2%,34,15.5,58,112.6,66,53.1%,24,11.5%,53,25.0%,43,18.1
SAC,De'Aaron Fox,Kevin Huerter,Keegan Murray,Harrison Barnes,Domantas Sabonis,1422,62,+6.2,64,120.7,72,59.4%,72,11.5%,23,21.3%,25,14.3,50,114.5,26,57.8%,62,14.1%,79,21.2%,69,14.7
BOS,Jrue Holiday,Derrick White,Jaylen Brown,Jayson Tatum,Kristaps Porzingis,1293,72,+12.0,67,121.7,73,59.6%,61,12.5%,42,23.9%,55,18.8,69,109.8,76,52.0%,28,11.7%,44,26.4%,78,13.4
MIL,Damian Lillard,Malik Beasley,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,1286,81,+15.5,71,123.3,79,60.5%,70,11.7%,40,23.7%,62,20.2,76,107.9,88,49.5%,12,9.9%,63,23.6%,51,17.3
MIN,Mike Conley,Anthony Edwards,Jaden McDaniels,Karl-Anthony Towns,Rudy Gobert,1275,68,+9.5,63,120.7,69,58.5%,18,15.9%,60,27.9%,68,21.0,62,111.2,71,52.5%,26,11.5%,49,25.8%,54,16.6
WAS,Tyus Jones,Jordan Poole,Deni Avdija,Kyle Kuzma,Daniel Gafford,1246,38,-1.9,42,114.9,52,56.3%,69,11.7%,28,22.1%,29,14.8,38,116.9,49,55.0%,59,13.8%,20,30.6%,50,17.4
LAC,James Harden,Terance Mann,Paul George,Kawhi Leonard,Ivica Zubac,1152,71,+11.5,65,121.2,66,58.1%,45,13.6%,62,28.2%,47,17.8,70,109.7,73,52.2%,47,12.9%,42,26.7%,65,15.4
