Team,PG,SG,SF,PF,C,Poss,Diff Rank,Diff,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
PHX,Devin Booker,Bradley Beal,Grayson Allen,Kevin Durant,Jusuf Nurkic,1044,69,+10.4,75,124.7,87,62.6%,38,14.1%,54,26.6%,36,15.7,52,114.3,29,57.3%,49,13.0%,67,23.4%,81,12.9
DEN,Reggie Jackson,Kentavious Caldwell-Pope,Michael Porter,Aaron Gordon,Nikola Jokic,932,65,+7.5,47,116.1,43,55.0%,52,13.1%,49,25.3%,49,18.2,73,108.6,63,53.4%,48,12.9%,77,21.5%,38,18.9
IND,Tyrese Haliburton,Andrew Nembhard,Aaron Nesmith,Pascal Siakam,Myles Turner,922,66,+7.5,44,115.6,56,57.1%,67,11.9%,7,16.8%,44,17.4,74,108.1,81,50.9%,22,11.2%,53,25.1%,61,15.8
NOP,CJ McCollum,Brandon Ingram,Herbert Jones,Zion Williamson,Jonas Valanciunas,905,40,-1.3,45,115.7,59,57.4%,42,13.9%,61,28.2%,36,15.7,38,116.9,37,56.5%,31,11.9%,62,23.8%,44,18.1
CHI,Coby White,Ayo Dosunmu,Alex Caruso,DeMar DeRozan,Nikola Vucevic,887,38,-1.8,18,108.3,19,51.9%,71,11.6%,13,18.8%,58,19.2,68,110.1,74,52.0%,55,13.5%,31,28.2%,52,17.2
SAS,Tre Jones,Jeremy Sochan,Devin Vassell,Julian Champagnie,Victor Wembanyama,870,53,+3.0,38,113.9,54,56.9%,29,14.8%,51,25.8%,41,17.2,65,110.9,46,55.3%,37,12.3%,69,23.0%,89,11.1
LAL,D'Angelo Russell,Austin Reaves,Rui Hachimura,LeBron James,Anthony Davis,823,62,+6.6,50,117.7,82,61.0%,34,14.5%,21,20.8%,26,14.3,63,111.1,51,54.8%,46,12.9%,60,24.3%,94,9.8
TOR,Dennis Schroder,OG Anunoby,Scottie Barnes,Pascal Siakam,Jakob Poeltl,770,35,-2.9,29,112.1,50,56.1%,51,13.1%,47,24.9%,37,16.1,48,115.0,37,56.5%,54,13.4%,65,23.5%,82,12.8
CLE,Darius Garland,Donovan Mitchell,Max Strus,Evan Mobley,Jarrett Allen,765,52,+2.3,39,114.0,57,57.2%,27,14.9%,54,26.7%,21,13.7,61,111.7,36,56.5%,81,15.9%,40,27.0%,84,12.1
BOS,Jrue Holiday,Derrick White,Jaylen Brown,Jayson Tatum,Al Horford,649,49,+1.3,60,120.2,72,59.5%,84,10.5%,11,18.1%,68,20.9,31,118.9,38,56.4%,34,12.2%,53,25.1%,74,14.0
ATL,Trae Young,Dejounte Murray,Saddiq Bey,Jalen Johnson,Clint Capela,628,10,-15.3,19,109.2,14,50.3%,24,15.3%,89,34.2%,61,20.0,14,124.6,17,59.0%,44,12.8%,30,28.2%,42,18.4
MIL,Damian Lillard,Malik Beasley,Jae Crowder,Giannis Antetokounmpo,Brook Lopez,626,76,+13.3,58,120.0,63,57.8%,79,11.0%,38,23.5%,69,21.3,79,106.6,72,52.4%,34,12.2%,73,22.2%,91,10.5
BKN,Spencer Dinwiddie,Mikal Bridges,Cameron Johnson,Dorian Finney-Smith,Nicolas Claxton,625,54,+3.3,36,113.4,23,52.5%,82,10.7%,68,29.4%,39,16.6,67,110.2,74,52.1%,41,12.6%,52,25.2%,74,14.0
ORL,Jalen Suggs,Gary Harris,Franz Wagner,Paolo Banchero,Wendell Carter,600,77,+14.0,47,116.3,68,58.3%,28,14.8%,31,22.3%,74,22.4,88,102.3,63,53.4%,91,17.4%,94,17.2%,20,21.5
ORL,Jalen Suggs,Anthony Black,Franz Wagner,Paolo Banchero,Goga Bitadze,574,70,+10.7,43,115.2,46,55.3%,16,16.2%,77,30.7%,67,20.8,83,104.5,75,52.0%,83,16.1%,71,22.9%,30,19.8
ORL,Markelle Fultz,Jalen Suggs,Franz Wagner,Paolo Banchero,Wendell Carter,571,64,+6.9,31,112.3,33,53.7%,43,13.8%,55,26.9%,29,14.9,81,105.4,60,53.7%,85,16.4%,85,20.2%,34,19.3
UTA,Kris Dunn,Collin Sexton,Simone Fontecchio,Lauri Markkanen,John Collins,551,57,+4.3,79,126.0,78,60.1%,71,11.6%,71,30.0%,33,15.4,23,121.7,18,59.0%,32,12.0%,68,23.3%,36,19.0
LAL,D'Angelo Russell,Austin Reaves,Taurean Prince,LeBron James,Anthony Davis,519,40,-1.3,51,118.1,48,55.6%,81,10.8%,38,23.3%,63,20.5,30,119.5,32,56.9%,28,11.7%,40,27.1%,79,13.2
SAC,De'Aaron Fox,Keon Ellis,Keegan Murray,Harrison Barnes,Domantas Sabonis,518,47,+0.9,17,108.3,13,50.1%,38,14.1%,67,29.3%,35,15.7,78,107.4,71,52.5%,53,13.3%,69,23.2%,59,16.1
GSW,Stephen Curry,Brandin Podziemski,Andrew Wiggins,Jonathan Kuminga,Draymond Green,488,74,+12.5,56,119.5,63,57.8%,86,10.0%,40,23.7%,24,14.3,79,107.0,80,51.1%,58,13.7%,58,24.4%,58,16.3
CLE,Donovan Mitchell,Max Strus,Isaac Okoro,Dean Wade,Jarrett Allen,484,89,+20.7,73,123.8,67,58.2%,74,11.4%,70,30.0%,48,18.1,86,103.1,72,52.3%,86,16.6%,77,21.3%,82,12.8
CHI,Coby White,Zach LaVine,Alex Caruso,DeMar DeRozan,Nikola Vucevic,470,23,-6.5,13,106.8,40,54.6%,40,14.0%,5,16.6%,74,22.2,57,113.3,48,55.2%,69,14.6%,37,27.6%,40,18.5
PHI,Tyrese Maxey,De'Anthony Melton,Nicolas Batum,Tobias Harris,Joel Embiid,467,98,+33.3,97,137.3,86,62.3%,88,9.9%,68,29.6%,94,28.7,85,103.9,92,48.4%,30,11.7%,86,19.7%,45,18.0
BKN,Spencer Dinwiddie,Cameron Thomas,Mikal Bridges,Cameron Johnson,Nicolas Claxton,466,12,-13.4,17,108.2,20,52.0%,66,12.0%,7,16.7%,37,16.2,24,121.6,16,59.2%,19,10.9%,28,28.8%,38,18.9
NYK,Jalen Brunson,Quentin Grimes,RJ Barrett,Julius Randle,Mitchell Robinson,464,59,+5.0,32,112.5,21,52.3%,43,13.8%,64,28.7%,64,20.5,78,107.5,68,52.8%,80,15.8%,25,29.4%,79,13.2
PHX,Devin Booker,Eric Gordon,Grayson Allen,Kevin Durant,Jusuf Nurkic,458,72,+11.9,51,117.9,79,60.5%,26,15.1%,27,22.0%,50,18.3,80,106.0,93,47.9%,15,10.2%,47,26.0%,83,12.8
BKN,Dennis Schroder,Cameron Thomas,Mikal Bridges,Dorian Finney-Smith,Nicolas Claxton,450,31,-3.8,28,111.8,31,53.6%,83,10.7%,42,23.8%,18,13.2,43,115.6,40,56.2%,43,12.7%,36,27.6%,83,12.7
MIN,Mike Conley,Anthony Edwards,Jaden McDaniels,Naz Reid,Rudy Gobert,417,43,-0.0,12,104.1,36,54.1%,22,15.6%,30,22.3%,54,18.7,84,104.1,90,48.9%,58,13.7%,27,29.0%,27,20.5
ATL,Trae Young,Dejounte Murray,Saddiq Bey,DeAndre Hunter,Clint Capela,382,56,+3.5,63,120.7,35,54.0%,66,12.0%,79,31.4%,36,16.1,37,117.2,23,58.3%,77,15.4%,73,22.1%,47,17.8
HOU,Fred VanVleet,Jalen Green,Amen Thompson,Dillon Brooks,Jabari Smith Jr.,379,62,+6.4,71,123.0,73,59.5%,78,11.1%,46,24.7%,35,15.6,39,116.6,14,59.8%,77,15.5%,49,25.8%,31,19.6
DAL,Luka Doncic,Kyrie Irving,Derrick Jones Jr.,PJ Washington,Daniel Gafford,377,82,+15.9,47,116.2,64,57.9%,57,12.7%,45,24.5%,12,12.0,92,100.3,77,51.6%,83,16.1%,88,19.6%,52,17.1
NYK,Jalen Brunson,Donte DiVincenzo,OG Anunoby,Julius Randle,Isaiah Hartenstein,374,82,+17.1,87,128.3,84,61.9%,37,14.2%,61,28.0%,67,20.7,63,111.2,61,53.6%,53,13.3%,74,22.0%,34,19.3
MIA,Terry Rozier,Duncan Robinson,Jimmy Butler,Nikola Jovic,Bam Adebayo,372,25,-5.8,20,109.4,49,56.1%,75,11.3%,2,14.0%,25,14.3,46,115.2,30,57.2%,20,11.0%,77,21.5%,67,15.0
IND,Tyrese Haliburton,Buddy Hield,Bruce Brown,Obi Toppin,Myles Turner,368,88,+20.5,96,136.4,93,64.7%,73,11.4%,54,26.6%,45,17.4,42,115.9,47,55.2%,7,8.9%,84,20.2%,43,18.3
NYK,Jalen Brunson,Donte DiVincenzo,Josh Hart,Precious Achiuwa,Isaiah Hartenstein,367,64,+6.8,55,119.3,38,54.4%,60,12.5%,85,32.6%,45,17.4,59,112.5,33,56.9%,67,14.4%,37,27.4%,90,10.8
ATL,Trae Young,Dejounte Murray,DeAndre Hunter,Jalen Johnson,Clint Capela,365,29,-4.3,40,114.2,27,53.0%,50,13.2%,63,28.7%,65,20.6,33,118.5,41,56.0%,71,14.7%,10,33.1%,28,20.4
HOU,Fred VanVleet,Jalen Green,Jae'Sean Tate,Jabari Smith Jr.,Alperen Sengun,353,25,-5.8,29,111.9,32,53.7%,82,10.8%,19,20.5%,52,18.5,36,117.7,32,56.9%,29,11.7%,49,25.9%,81,12.9
TOR,Immanuel Quickley,Gary Trent Jr.,RJ Barrett,Scottie Barnes,Jakob Poeltl,347,71,+11.8,68,121.9,47,55.5%,80,11.0%,81,31.7%,32,15.2,68,110.1,44,55.6%,68,14.5%,44,26.3%,93,9.8
WAS,Tyus Jones,Jordan Poole,Bilal Coulibaly,Kyle Kuzma,Daniel Gafford,340,9,-16.6,14,107.1,25,52.8%,77,11.2%,14,18.8%,21,13.8,17,123.7,39,56.3%,92,17.7%,1,43.0%,11,24.9
GSW,Stephen Curry,Klay Thompson,Andrew Wiggins,Jonathan Kuminga,Draymond Green,337,85,+18.1,49,117.2,65,58.0%,56,12.8%,45,24.4%,21,13.8,94,99.1,97,45.0%,62,14.1%,26,29.2%,30,19.8
LAL,D'Angelo Russell,Cameron Reddish,Taurean Prince,LeBron James,Anthony Davis,333,42,-0.4,16,107.8,42,54.8%,30,14.7%,18,20.1%,43,17.3,74,108.2,77,51.8%,65,14.3%,41,26.9%,84,12.3
NYK,Jalen Brunson,Miles McBride,Donte DiVincenzo,Josh Hart,Isaiah Hartenstein,331,98,+33.1,99,141.1,96,66.3%,93,9.1%,62,28.3%,41,17.0,75,108.0,63,53.3%,88,17.0%,19,30.6%,24,20.7
IND,Tyrese Haliburton,Bennedict Mathurin,Bruce Brown,Obi Toppin,Myles Turner,324,28,-4.7,55,119.4,48,55.8%,45,13.6%,74,30.4%,85,25.4,16,124.1,41,56.0%,11,9.6%,28,28.9%,21,21.3
NOP,CJ McCollum,Trey Murphy III,Herbert Jones,Zion Williamson,Jonas Valanciunas,317,44,+0.4,21,109.8,26,52.9%,82,10.7%,34,22.7%,17,12.9,70,109.4,37,56.5%,82,16.0%,67,23.4%,57,16.3
SAC,De'Aaron Fox,Malik Monk,Keegan Murray,Harrison Barnes,Domantas Sabonis,312,43,+0.3,68,122.1,18,51.7%,72,11.5%,67,29.3%,90,27.0,23,121.8,10,61.0%,64,14.2%,81,20.8%,3,30.3
CHI,Coby White,Alex Caruso,DeMar DeRozan,Patrick Williams,Nikola Vucevic,310,42,-0.4,44,115.2,44,55.1%,75,11.3%,31,22.4%,57,19.1,44,115.5,41,55.9%,48,12.9%,86,19.7%,55,16.5
ATL,Dejounte Murray,Bogdan Bogdanovic,Vit Krejci,DeAndre Hunter,Clint Capela,307,74,+12.5,67,121.5,43,55.0%,74,11.4%,86,32.9%,18,13.2,72,109.0,57,54.1%,52,13.2%,82,20.5%,40,18.5
ATL,Dejounte Murray,Bogdan Bogdanovic,Saddiq Bey,Jalen Johnson,Clint Capela,306,27,-5.5,23,110.5,6,47.5%,62,12.4%,93,36.0%,59,19.3,42,115.9,52,54.7%,19,10.7%,38,27.4%,92,10.4
MIN,Anthony Edwards,Nickeil Alexander-Walker,Kyle Anderson,Naz Reid,Karl-Anthony Towns,304,39,-1.6,62,120.4,51,56.2%,38,14.1%,39,23.6%,87,25.6,21,122.0,46,55.3%,42,12.7%,57,24.5%,4,28.9
CLE,Darius Garland,Caris LeVert,Isaac Okoro,Georges Niang,Jarrett Allen,300,30,-3.9,74,124.7,70,58.9%,59,12.7%,52,26.1%,62,20.3,7,128.6,11,60.8%,82,15.9%,9,33.8%,28,20.4
SAS,Tre Jones,Jeremy Sochan,Devin Vassell,Keldon Johnson,Victor Wembanyama,297,91,+25.6,84,127.3,56,57.1%,51,13.1%,81,31.7%,80,23.7,90,101.6,88,49.4%,90,17.4%,45,26.2%,10,25.2
NOP,CJ McCollum,Brandon Ingram,Herbert Jones,Zion Williamson,Larry Nance Jr.,297,28,-4.9,23,110.4,27,52.9%,34,14.5%,47,25.0%,78,23.0,45,115.3,28,57.3%,57,13.7%,52,25.2%,65,15.4
LAC,James Harden,Terance Mann,Paul George,Kawhi Leonard,Mason Plumlee,293,80,+15.2,93,133.8,89,63.1%,92,9.2%,70,29.9%,64,20.5,32,118.6,40,56.0%,40,12.4%,29,28.4%,77,13.5
GSW,Stephen Curry,Klay Thompson,Andrew Wiggins,Draymond Green,Kevon Looney,293,23,-7.0,28,111.6,22,52.3%,3,19.1%,96,37.9%,73,22.1,33,118.6,21,58.6%,18,10.7%,86,19.9%,24,20.7
DET,Jaden Ivey,Cade Cunningham,Ausar Thompson,Isaiah Stewart,Jalen Duren,292,20,-8.1,31,112.3,24,52.7%,17,16.1%,85,32.6%,79,23.4,28,120.5,31,57.1%,14,10.1%,72,22.5%,25,20.7
ATL,Trae Young,Bogdan Bogdanovic,Saddiq Bey,Jalen Johnson,Onyeka Okongwu,291,79,+14.5,79,126.1,74,59.7%,44,13.7%,72,30.2%,83,24.1,62,111.6,67,53.0%,54,13.4%,47,26.0%,62,15.7
UTA,Keyonte George,Jordan Clarkson,Ochai Agbaji,Kelly Olynyk,Walker Kessler,290,16,-11.4,40,114.1,54,56.9%,11,17.6%,28,22.1%,96,29.9,13,125.5,57,54.0%,3,7.9%,9,33.5%,72,14.1
ATL,Dejounte Murray,Bogdan Bogdanovic,DeAndre Hunter,Jalen Johnson,Clint Capela,289,41,-1.2,18,108.3,42,54.8%,13,17.0%,43,24.1%,39,16.5,70,109.5,29,57.3%,65,14.3%,92,18.2%,86,11.8
PHI,Tyrese Maxey,Nicolas Batum,Kelly Oubre,Tobias Harris,Joel Embiid,282,58,+4.6,72,123.4,60,57.5%,69,11.7%,59,27.6%,88,25.8,32,118.8,60,53.7%,26,11.6%,17,31.0%,22,21.1
CHI,Coby White,Ayo Dosunmu,DeMar DeRozan,Patrick Williams,Nikola Vucevic,276,86,+19.3,69,122.5,43,54.9%,84,10.5%,30,22.3%,71,21.8,86,103.2,88,49.2%,18,10.6%,61,23.8%,33,19.4
SAC,De'Aaron Fox,Chris Duarte,Keegan Murray,Harrison Barnes,Domantas Sabonis,265,49,+1.6,39,114.0,45,55.1%,4,18.9%,94,36.6%,5,9.4,59,112.4,35,56.6%,83,16.1%,67,23.4%,41,18.4
UTA,Keyonte George,Jordan Clarkson,Ochai Agbaji,Lauri Markkanen,John Collins,265,22,-7.6,41,114.3,24,52.7%,41,14.0%,80,31.7%,56,18.9,22,121.9,26,57.8%,42,12.6%,35,27.6%,34,19.3
MIL,Damian Lillard,Malik Beasley,Pat Connaughton,Giannis Antetokounmpo,Brook Lopez,259,93,+27.4,83,127.0,68,58.3%,20,15.8%,18,20.4%,100,44.6,93,99.6,93,48.1%,6,8.7%,94,17.2%,82,12.9
NYK,Jalen Brunson,Donte DiVincenzo,Josh Hart,OG Anunoby,Isaiah Hartenstein,258,80,+15.1,59,120.2,59,57.4%,25,15.1%,81,31.7%,20,13.6,83,105.0,58,54.0%,67,14.3%,92,18.4%,88,11.5
MIN,Mike Conley,Anthony Edwards,Nickeil Alexander-Walker,Karl-Anthony Towns,Rudy Gobert,258,68,+9.3,33,112.8,48,55.8%,19,15.9%,40,23.8%,47,17.8,85,103.5,76,51.9%,81,15.8%,46,26.1%,87,11.6
CHI,Coby White,Zach LaVine,DeMar DeRozan,Patrick Williams,Nikola Vucevic,245,31,-3.8,53,118.8,58,57.2%,79,11.0%,18,20.2%,18,13.2,19,122.6,5,63.2%,28,11.7%,95,17.0%,66,15.3
NYK,Immanuel Quickley,Donte DiVincenzo,Josh Hart,RJ Barrett,Isaiah Hartenstein,244,52,+2.7,24,110.7,18,51.8%,36,14.3%,84,32.2%,60,20.0,76,107.9,65,53.1%,91,17.5%,32,28.1%,29,19.8
MIN,Mike Conley,Anthony Edwards,Jaden McDaniels,Kyle Anderson,Rudy Gobert,244,17,-9.7,8,101.2,3,45.6%,17,16.0%,88,33.6%,72,22.0,64,111.0,70,52.6%,60,13.8%,59,24.4%,13,23.7
BOS,Derrick White,Jaylen Brown,Jayson Tatum,Al Horford,Kristaps Porzingis,242,87,+19.6,89,131.4,62,57.8%,96,7.9%,32,22.5%,70,21.6,61,111.8,64,53.2%,36,12.2%,90,19.2%,63,15.4
DET,Jaden Ivey,Cade Cunningham,Ausar Thompson,Simone Fontecchio,Jalen Duren,242,48,+1.1,21,109.9,20,52.0%,71,11.6%,66,28.9%,28,14.6,72,108.8,68,52.8%,64,14.2%,81,20.9%,8,25.6
PHI,Tyrese Maxey,De'Anthony Melton,Kelly Oubre,Tobias Harris,Joel Embiid,237,44,+0.4,58,119.8,44,55.1%,64,12.2%,40,23.8%,98,34.7,30,119.4,19,58.9%,55,13.5%,57,24.5%,62,15.5
CLE,Darius Garland,Caris LeVert,Isaac Okoro,Georges Niang,Evan Mobley,236,90,+22.5,74,124.6,92,64.2%,9,17.8%,49,25.3%,52,18.5,89,102.1,96,46.2%,58,13.8%,23,29.9%,46,18.0
LAC,James Harden,Norman Powell,Paul George,Kawhi Leonard,Ivica Zubac,236,96,+31.8,91,132.6,68,58.3%,80,11.0%,31,22.3%,83,24.3,91,100.8,75,52.0%,87,16.9%,66,23.5%,19,22.1
POR,Malcolm Brogdon,Shaedon Sharpe,Toumani Camara,Jerami Grant,Deandre Ayton,234,21,-7.8,15,107.3,9,49.0%,20,15.8%,65,28.8%,96,29.9,48,115.0,30,57.2%,95,18.5%,23,29.9%,33,19.4
CHA,Vasilije Micic,Tre Mann,Brandon Miller,Miles Bridges,Grant Williams,231,8,-17.7,30,112.1,74,59.6%,42,13.9%,1,10.4%,58,19.3,5,129.8,14,60.0%,30,11.8%,8,34.2%,47,17.6
GSW,Stephen Curry,Brandin Podziemski,Klay Thompson,Jonathan Kuminga,Kevon Looney,231,4,-20.9,30,112.1,39,54.5%,65,12.1%,63,28.7%,24,14.2,2,133.0,6,63.0%,4,8.5%,52,25.3%,59,16.0
SAS,Jeremy Sochan,Malaki Branham,Devin Vassell,Keldon Johnson,Victor Wembanyama,223,39,-1.7,11,103.6,19,51.8%,13,17.0%,29,22.2%,42,17.3,82,105.3,71,52.5%,74,15.0%,44,26.3%,86,11.8
IND,Tyrese Haliburton,Andrew Nembhard,Bennedict Mathurin,Pascal Siakam,Myles Turner,223,36,-2.7,20,109.4,17,51.0%,59,12.6%,55,26.8%,60,20.0,60,112.2,50,54.8%,68,14.4%,29,28.3%,91,10.6
ATL,Trae Young,Dejounte Murray,Saddiq Bey,Jalen Johnson,Onyeka Okongwu,222,39,-1.7,61,120.3,30,53.4%,64,12.2%,76,30.6%,97,32.6,21,122.0,50,54.9%,24,11.5%,27,28.9%,19,22.1
OKC,Shai Gilgeous-Alexander,Jalen Williams,Isaiah Joe,Luguentz Dort,Chet Holmgren,221,90,+22.9,89,131.2,61,57.6%,84,10.4%,20,20.8%,100,39.5,73,108.3,59,53.8%,96,19.0%,34,27.7%,0,39.4
NYK,Jalen Brunson,Donte DiVincenzo,RJ Barrett,Julius Randle,Isaiah Hartenstein,220,20,-8.2,54,119.1,17,51.5%,23,15.5%,92,35.7%,89,26.1,9,127.3,19,58.8%,11,9.7%,66,23.5%,18,22.2
DAL,Luka Doncic,Kyrie Irving,Derrick Jones Jr.,Grant Williams,Dereck Lively II,219,37,-2.3,18,108.7,39,54.5%,49,13.2%,40,23.8%,9,11.1,64,111.0,35,56.6%,52,13.3%,91,18.6%,71,14.2
CHA,Vasilije Micic,Tre Mann,Brandon Miller,Miles Bridges,Nick Richards,217,24,-6.3,35,113.4,58,57.3%,25,15.2%,38,23.5%,17,13.0,29,119.6,9,61.4%,78,15.6%,12,32.2%,79,13.2
SAC,Davion Mitchell,Kevin Huerter,Keegan Murray,Harrison Barnes,Domantas Sabonis,216,10,-16.0,4,97.7,9,49.0%,54,13.0%,15,19.3%,6,10.3,54,113.7,51,54.8%,36,12.3%,84,20.2%,35,19.3
NYK,Jalen Brunson,Quentin Grimes,Josh Hart,Julius Randle,Mitchell Robinson,215,15,-11.6,10,103.3,4,46.0%,53,13.0%,96,37.6%,9,11.2,49,114.9,18,59.0%,61,14.0%,64,23.5%,96,8.7
UTA,Keyonte George,Collin Sexton,Taylor Hendricks,Lauri Markkanen,John Collins,214,29,-4.7,19,108.9,44,55.0%,12,17.3%,52,26.0%,64,20.6,55,113.6,40,56.1%,93,17.8%,16,31.1%,56,16.4
NOP,CJ McCollum,Trey Murphy III,Brandon Ingram,Herbert Jones,Jonas Valanciunas,214,88,+20.6,62,120.6,55,57.0%,76,11.2%,36,22.9%,28,14.4,92,100.0,86,49.7%,49,13.0%,91,18.5%,81,13.0
DET,Killian Hayes,Cade Cunningham,Ausar Thompson,Isaiah Stewart,Jalen Duren,213,17,-10.2,9,102.8,29,53.2%,1,21.6%,89,34.0%,11,11.8,58,113.0,78,51.5%,33,12.1%,33,27.9%,40,18.5
MIA,Tyler Herro,Caleb Martin,Jimmy Butler,Nikola Jovic,Bam Adebayo,212,59,+5.2,61,120.3,47,55.3%,74,11.3%,27,22.0%,87,25.7,47,115.1,67,52.9%,30,11.8%,21,30.4%,87,11.5
CHA,Tre Mann,Cody Martin,Brandon Miller,Miles Bridges,Nick Richards,210,19,-8.6,7,100.5,16,50.8%,24,15.2%,40,23.8%,10,11.2,71,109.1,82,50.8%,73,14.8%,12,32.4%,47,17.6
MIN,Anthony Edwards,Nickeil Alexander-Walker,Jaden McDaniels,Karl-Anthony Towns,Rudy Gobert,208,58,+4.4,79,126.0,89,63.1%,60,12.5%,37,23.2%,81,23.9,25,121.5,36,56.5%,20,11.0%,33,27.9%,11,24.9
LAL,D'Angelo Russell,Spencer Dinwiddie,Austin Reaves,Rui Hachimura,Anthony Davis,206,50,+1.8,80,126.2,71,59.0%,97,7.8%,3,14.9%,61,20.1,15,124.4,20,58.8%,9,9.1%,50,25.7%,80,13.1
MIL,Damian Lillard,Malik Beasley,Pat Connaughton,Bobby Portis,Brook Lopez,205,83,+17.5,56,119.5,51,56.2%,98,6.8%,9,17.8%,31,15.1,89,102.0,92,48.4%,42,12.6%,96,16.3%,71,14.3
TOR,Dennis Schroder,Gary Trent Jr.,OG Anunoby,Pascal Siakam,Jakob Poeltl,204,16,-10.3,25,110.8,22,52.3%,31,14.7%,53,26.4%,11,11.8,26,121.1,7,62.6%,47,12.9%,72,22.6%,92,10.2
LAL,Austin Reaves,Cameron Reddish,Taurean Prince,LeBron James,Anthony Davis,203,18,-9.3,48,116.7,45,55.1%,49,13.3%,27,22.0%,51,18.4,11,126.1,1,66.3%,84,16.1%,68,23.3%,49,17.4
LAL,D'Angelo Russell,Austin Reaves,Taurean Prince,Rui Hachimura,Anthony Davis,202,32,-3.7,31,112.4,25,52.7%,42,13.9%,50,25.5%,58,19.2,41,116.1,68,52.8%,41,12.6%,18,30.9%,93,10.0
LAC,Russell Westbrook,Norman Powell,Amir Coffey,Kawhi Leonard,Daniel Theis,202,41,-0.4,61,120.3,58,57.3%,48,13.4%,57,27.4%,12,11.9,27,120.7,79,51.3%,51,13.1%,4,35.8%,14,23.2
ORL,Cole Anthony,Gary Harris,Joe Ingles,Jonathan Isaac,Moritz Wagner,201,54,+3.1,36,113.4,41,54.7%,6,18.4%,91,35.2%,81,24.0,67,110.4,34,56.7%,96,18.7%,81,20.9%,57,16.4
