Team,PG,SG,SF,PF,C,Poss,Diff Rank,Diff,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
League Averages,,,,,,,,,,115.1,,54.8%,,14.1%,,26.8%,,20.9,,115.1,,54.8%,,14.1%,,26.8%,,20.9
SAC,De'Aaron Fox,Kevin Huerter,Harrison Barnes,Keegan Murray,Domantas Sabonis,1898,51,+3.7,63,119.9,55,56.7%,72,12.0%,45,25.2%,59,20.8,39,116.2,24,58.4%,49,13.4%,66,23.4%,70,16.1
ATL,Trae Young,Dejounte Murray,DeAndre Hunter,John Collins,Clint Capela,1569,59,+6.0,51,117.1,37,54.3%,77,11.5%,67,28.7%,38,17.4,63,111.1,51,54.5%,49,13.4%,53,25.3%,68,16.2
DEN,Jamal Murray,Kentavious Caldwell-Pope,Michael Porter,Aaron Gordon,Nikola Jokic,1469,76,+12.7,83,125.3,86,61.6%,55,12.9%,61,27.3%,26,16.1,56,112.6,44,55.6%,50,13.5%,61,24.3%,73,15.7
CHI,Ayo Dosunmu,Zach LaVine,DeMar DeRozan,Patrick Williams,Nikola Vucevic,1231,44,+1.3,31,111.5,62,57.5%,47,13.6%,7,15.7%,29,16.4,66,110.2,58,53.7%,22,11.1%,84,20.5%,68,16.5
ORL,Markelle Fultz,Gary Harris,Franz Wagner,Paolo Banchero,Wendell Carter,1184,43,+1.0,40,114.0,52,56.1%,42,13.9%,28,22.7%,52,19.9,51,113.0,34,56.8%,62,14.5%,75,22.1%,67,16.5
POR,Damian Lillard,Anfernee Simons,Josh Hart,Jerami Grant,Jusuf Nurkic,1105,43,+0.9,48,116.4,66,57.7%,22,15.7%,27,22.5%,74,23.0,41,115.4,41,55.9%,28,11.7%,50,25.7%,50,18.7
NYK,Jalen Brunson,Quentin Grimes,RJ Barrett,Julius Randle,Mitchell Robinson,1061,61,+7.0,81,124.7,70,58.6%,71,12.0%,77,30.7%,55,20.3,31,117.7,29,57.5%,30,11.8%,85,20.2%,52,18.2
PHI,James Harden,De'Anthony Melton,Tobias Harris,PJ Tucker,Joel Embiid,1029,60,+6.8,68,121.4,78,59.8%,38,14.1%,20,20.2%,97,33.4,44,114.6,50,54.6%,64,14.7%,28,28.7%,74,15.6
BOS,Marcus Smart,Derrick White,Jaylen Brown,Jayson Tatum,Al Horford,909,74,+12.2,80,124.5,87,61.7%,85,10.8%,9,16.9%,48,19.0,57,112.3,57,53.9%,39,12.5%,43,26.5%,72,15.8
HOU,Kevin Porter,Jalen Green,Kenyon Martin Jr.,Jabari Smith Jr.,Alperen Sengun,897,22,-8.5,40,114.2,33,53.7%,42,13.8%,78,31.2%,36,17.1,18,122.7,23,58.4%,15,10.5%,63,24.0%,40,20.1
HOU,Kevin Porter,Jalen Green,Eric Gordon,Jabari Smith Jr.,Alperen Sengun,876,18,-10.3,22,108.1,23,51.7%,18,16.0%,69,29.2%,43,18.3,29,118.4,38,56.6%,44,13.1%,46,26.1%,28,21.8
IND,Andrew Nembhard,Tyrese Haliburton,Buddy Hield,Aaron Nesmith,Myles Turner,835,51,+3.8,61,119.8,80,59.9%,62,12.6%,10,18.3%,17,14.7,40,115.9,61,53.4%,68,14.9%,16,32.1%,18,23.8
CLE,Darius Garland,Donovan Mitchell,Isaac Okoro,Evan Mobley,Jarrett Allen,800,64,+7.8,71,122.0,86,61.4%,41,13.9%,46,25.4%,26,16.2,46,114.2,31,57.3%,67,14.8%,71,22.5%,58,17.6
TOR,Fred VanVleet,Gary Trent Jr.,OG Anunoby,Scottie Barnes,Pascal Siakam,767,46,+1.9,48,116.3,27,52.6%,92,9.9%,41,24.5%,45,18.7,45,114.4,26,58.0%,83,16.4%,54,25.2%,26,22.2
NOP,CJ McCollum,Trey Murphy III,Brandon Ingram,Herbert Jones,Jonas Valanciunas,736,38,-0.9,55,118.1,51,55.9%,54,13.0%,64,28.2%,34,16.9,28,119.0,38,56.6%,17,10.6%,67,23.1%,64,16.8
PHI,James Harden,Tyrese Maxey,Tobias Harris,PJ Tucker,Joel Embiid,715,76,+13.1,75,123.1,68,58.1%,68,12.2%,42,24.8%,85,25.9,67,110.0,46,55.3%,37,12.4%,87,19.6%,83,14.4
GSW,Stephen Curry,Klay Thompson,Andrew Wiggins,Draymond Green,Kevon Looney,705,92,+22.1,89,128.5,95,65.2%,59,12.8%,43,24.8%,19,15.0,78,106.4,74,51.7%,47,13.3%,60,24.6%,51,18.5
DEN,Jamal Murray,Kentavious Caldwell-Pope,Bruce Brown,Aaron Gordon,Nikola Jokic,671,70,+10.2,70,121.9,81,60.1%,53,13.1%,56,27.0%,69,21.8,60,111.7,37,56.6%,73,15.3%,62,24.2%,70,16.1
BKN,Spencer Dinwiddie,Mikal Bridges,Cameron Johnson,Dorian Finney-Smith,Nicolas Claxton,664,50,+3.2,34,112.3,32,53.6%,80,11.1%,34,23.4%,46,18.9,70,109.2,82,50.2%,37,12.3%,27,29.1%,75,15.4
UTA,Mike Conley,Jordan Clarkson,Lauri Markkanen,Jarred Vanderbilt,Kelly Olynyk,629,39,-0.7,37,112.7,38,54.6%,17,16.1%,76,30.5%,24,15.8,49,113.4,50,54.6%,51,13.5%,37,27.4%,66,16.6
TOR,Fred VanVleet,OG Anunoby,Scottie Barnes,Pascal Siakam,Jakob Poeltl,625,66,+9.1,65,120.3,48,55.5%,70,12.0%,80,31.9%,23,15.6,63,111.3,27,57.9%,97,19.9%,38,27.2%,30,21.7
OKC,Shai Gilgeous-Alexander,Jalen Williams,Luguentz Dort,Josh Giddey,Jaylin Williams,620,30,-3.9,24,108.9,28,52.8%,54,13.1%,48,25.7%,36,17.3,53,112.7,40,56.2%,88,17.3%,26,29.5%,59,17.4
MIA,Kyle Lowry,Tyler Herro,Caleb Martin,Jimmy Butler,Bam Adebayo,608,54,+5.2,36,112.5,34,53.8%,57,12.8%,43,25.0%,61,21.1,74,107.3,45,55.3%,89,17.3%,58,24.7%,77,15.0
ATL,Trae Young,Dejounte Murray,DeAndre Hunter,John Collins,Onyeka Okongwu,556,56,+5.6,47,116.0,50,55.8%,44,13.7%,25,22.2%,73,22.6,66,110.4,68,52.4%,72,15.2%,28,28.8%,26,22.3
POR,Damian Lillard,Anfernee Simons,Josh Hart,Jerami Grant,Drew Eubanks,551,38,-0.9,56,118.5,46,55.3%,91,10.0%,34,23.4%,77,24.0,27,119.4,34,56.9%,42,13.0%,57,24.8%,38,20.5
SAC,Davion Mitchell,Kevin Huerter,Harrison Barnes,Keegan Murray,Domantas Sabonis,541,58,+6.0,84,125.9,94,64.9%,81,11.1%,11,18.4%,32,16.7,25,119.9,21,58.7%,43,13.1%,79,21.5%,51,18.5
MIN,D'Angelo Russell,Anthony Edwards,Jaden McDaniels,Karl-Anthony Towns,Rudy Gobert,541,54,+5.4,26,109.8,50,55.7%,4,19.0%,68,29.0%,37,17.4,86,104.4,89,48.7%,35,12.2%,36,27.5%,88,13.3
MIN,D'Angelo Russell,Anthony Edwards,Jaden McDaniels,Kyle Anderson,Rudy Gobert,518,79,+14.1,48,116.4,76,59.6%,27,15.1%,14,19.4%,54,20.3,91,102.3,81,50.2%,75,15.5%,33,27.8%,66,16.6
CHI,Patrick Beverley,Alex Caruso,Zach LaVine,DeMar DeRozan,Nikola Vucevic,516,78,+13.7,51,117.2,56,56.9%,92,9.9%,13,18.8%,37,17.3,87,103.5,65,52.9%,84,16.6%,80,21.4%,63,17.0
