Team,PG,SG,SF,PF,C,Poss,Diff Rank,Diff,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
MIN,Mike Conley,Anthony Edwards,Jaden McDaniels,Kyle Anderson,Rudy Gobert,510,63,+7.6,67,120.8,62,57.4%,69,12.2%,79,31.3%,28,16.3,50,113.2,52,54.4%,40,12.8%,30,28.4%,80,14.8
MIL,Jrue Holiday,Grayson Allen,Pat Connaughton,Giannis Antetokounmpo,Brook Lopez,508,62,+7.2,54,117.7,70,58.6%,58,12.8%,54,26.5%,19,14.9,65,110.5,51,54.5%,7,8.9%,94,17.5%,92,12.4
DET,Killian Hayes,Jaden Ivey,Bojan Bogdanovic,Isaiah Stewart,Jalen Duren,507,11,-15.4,25,109.3,22,51.3%,12,17.2%,77,30.7%,60,20.9,13,124.7,29,57.5%,18,10.8%,37,27.4%,34,21.0
BKN,Ben Simmons,Kyrie Irving,Royce O'Neale,Kevin Durant,Nicolas Claxton,506,49,+3.1,46,115.4,85,61.0%,60,12.6%,23,21.1%,3,10.9,58,112.3,80,50.4%,46,13.3%,15,32.5%,59,17.5
PHX,Cameron Payne,Devin Booker,Mikal Bridges,Torrey Craig,Deandre Ayton,491,41,-0.4,47,115.7,35,53.9%,61,12.6%,59,27.2%,20,15.1,40,116.1,44,55.4%,70,15.1%,22,30.2%,29,21.8
PHX,Chris Paul,Devin Booker,Josh Okogie,Torrey Craig,Deandre Ayton,466,72,+11.6,68,121.2,60,57.2%,86,10.7%,46,25.3%,39,17.7,68,109.7,56,54.0%,81,16.3%,24,29.8%,73,15.7
DEN,Kentavious Caldwell-Pope,Bruce Brown,Michael Porter,Aaron Gordon,Nikola Jokic,463,86,+16.4,88,128.5,82,60.3%,49,13.4%,33,23.3%,78,24.3,59,112.1,69,52.3%,40,12.7%,59,24.7%,15,24.5
DET,Jaden Ivey,Cade Cunningham,Saddiq Bey,Bojan Bogdanovic,Isaiah Stewart,458,25,-6.3,43,114.6,24,52.0%,39,14.0%,69,29.1%,89,27.2,22,120.9,33,57.0%,29,11.8%,45,26.2%,61,17.2
MIA,Gabe Vincent,Tyler Herro,Jimmy Butler,Kevin Love,Bam Adebayo,457,42,+0.6,35,112.5,47,55.4%,36,14.2%,26,22.2%,41,18.0,60,111.8,36,56.7%,67,14.8%,76,21.8%,76,15.3
CLE,Darius Garland,Donovan Mitchell,Caris LeVert,Evan Mobley,Jarrett Allen,456,86,+16.2,54,117.8,44,55.2%,46,13.6%,81,32.1%,68,21.7,92,101.5,92,48.1%,60,14.3%,55,25.0%,29,21.8
CHA,LaMelo Ball,Terry Rozier,Gordon Hayward,PJ Washington,Mason Plumlee,434,35,-1.8,32,111.8,35,53.9%,50,13.4%,36,23.8%,17,14.6,48,113.5,34,56.8%,50,13.5%,73,22.3%,54,18.1
NYK,Jalen Brunson,Quentin Grimes,RJ Barrett,Julius Randle,Jericho Sims,433,18,-10.4,55,118.0,34,53.8%,93,9.5%,45,25.2%,32,16.7,10,128.4,20,58.9%,6,8.4%,67,23.3%,24,22.6
CHA,LaMelo Ball,Terry Rozier,Jalen McDaniels,PJ Washington,Mason Plumlee,413,31,-3.5,67,120.8,41,54.8%,87,10.7%,54,26.6%,57,20.6,14,124.3,13,61.0%,38,12.4%,40,26.8%,40,20.1
ORL,Markelle Fultz,Franz Wagner,Paolo Banchero,Bol Bol,Moritz Wagner,411,28,-4.8,21,107.8,22,51.6%,7,18.2%,80,31.8%,79,24.4,55,112.6,41,56.0%,75,15.5%,49,25.7%,74,15.6
CHI,Alex Caruso,Zach LaVine,DeMar DeRozan,Patrick Williams,Nikola Vucevic,405,65,+8.0,58,118.8,68,58.2%,84,10.9%,7,15.7%,89,27.4,64,110.8,47,55.2%,91,17.7%,58,24.7%,7,28.5
SAS,Tre Jones,Devin Vassell,Keldon Johnson,Jeremy Sochan,Jakob Poeltl,397,43,+0.9,29,110.8,29,52.9%,38,14.1%,77,30.7%,4,11.8,67,110.0,30,57.4%,87,17.2%,30,28.4%,96,11.5
MIL,Jrue Holiday,Jevon Carter,Grayson Allen,Giannis Antetokounmpo,Brook Lopez,396,90,+19.9,53,117.7,50,55.8%,37,14.1%,63,27.9%,22,15.5,95,97.8,89,48.7%,41,13.0%,87,19.6%,69,16.1
DAL,Luka Doncic,Spencer Dinwiddie,Tim Hardaway Jr.,Reggie Bullock,Christian Wood,377,39,-0.8,49,116.4,59,57.1%,95,8.8%,1,11.7%,28,16.4,33,117.3,48,55.1%,12,9.9%,27,28.9%,89,13.2
GSW,Stephen Curry,Donte DiVincenzo,Klay Thompson,Draymond Green,Kevon Looney,371,88,+18.4,46,115.4,71,58.6%,9,17.5%,78,31.2%,6,12.4,97,97.0,90,48.6%,67,14.8%,72,22.4%,84,14.2
TOR,Fred VanVleet,Gary Trent Jr.,Scottie Barnes,Pascal Siakam,Precious Achiuwa,368,51,+3.8,77,123.6,52,56.2%,58,12.8%,72,29.5%,43,18.3,24,119.9,22,58.6%,59,14.2%,54,25.2%,22,23.2
BOS,Marcus Smart,Jaylen Brown,Jayson Tatum,Grant Williams,Al Horford,359,41,+0.3,38,112.8,37,54.3%,89,10.3%,9,16.8%,40,17.8,56,112.5,54,54.2%,32,12.0%,69,22.7%,30,21.6
GSW,Stephen Curry,Jordan Poole,Klay Thompson,Andrew Wiggins,Draymond Green,350,48,+2.9,43,114.6,42,55.0%,33,14.3%,8,16.3%,74,22.8,61,111.7,64,53.0%,65,14.8%,18,31.6%,24,22.7
MEM,Ja Morant,Dillon Brooks,John Konchar,Jaren Jackson,Steven Adams,346,80,+14.2,53,117.6,49,55.7%,47,13.6%,79,31.3%,58,20.8,88,103.4,81,50.3%,52,13.7%,69,22.7%,66,16.6
DAL,Luka Doncic,Spencer Dinwiddie,Tim Hardaway Jr.,Dorian Finney-Smith,Dwight Powell,342,55,+5.5,87,127.2,87,61.7%,71,12.0%,70,29.3%,27,16.3,20,121.7,24,58.4%,33,12.0%,43,26.5%,58,17.7
MIA,Kyle Lowry,Tyler Herro,Max Strus,Caleb Martin,Bam Adebayo,331,77,+13.2,60,119.6,63,57.5%,69,12.1%,17,19.9%,53,20.1,78,106.4,64,52.9%,57,14.0%,81,21.2%,72,15.9
LAC,Reggie Jackson,Paul George,Kawhi Leonard,Marcus Morris,Ivica Zubac,331,57,+5.8,41,114.2,63,57.5%,33,14.5%,30,22.8%,56,20.4,72,108.4,59,53.7%,18,10.7%,97,16.5%,84,14.3
MEM,Tyus Jones,Dillon Brooks,Desmond Bane,Jaren Jackson,Xavier Tillman,323,49,+3.1,42,114.6,66,58.0%,89,10.2%,17,19.9%,1,9.8,61,111.5,28,57.8%,85,16.8%,46,26.2%,54,18.1
WAS,Monte Morris,Bradley Beal,Deni Avdija,Kyle Kuzma,Kristaps Porzingis,317,80,+14.2,84,125.6,69,58.5%,51,13.2%,65,28.3%,50,19.5,62,111.4,65,52.8%,33,12.0%,66,23.5%,26,22.2
NYK,Jalen Brunson,Immanuel Quickley,Quentin Grimes,Julius Randle,Mitchell Robinson,314,54,+5.2,32,111.8,20,51.0%,65,12.4%,68,28.9%,49,19.4,77,106.6,84,49.8%,45,13.2%,51,25.6%,48,19.4
DAL,Luka Doncic,Spencer Dinwiddie,Reggie Bullock,Dorian Finney-Smith,Dwight Powell,312,75,+12.6,59,118.9,63,57.5%,62,12.5%,31,23.1%,39,17.5,79,106.3,71,52.0%,87,17.0%,16,32.2%,58,17.6
MEM,Ja Morant,Dillon Brooks,Desmond Bane,Jaren Jackson,Xavier Tillman,310,40,-0.4,19,106.8,28,52.8%,41,13.9%,24,21.8%,51,19.5,76,107.2,75,51.4%,53,13.8%,43,26.5%,80,14.7
UTA,Ochai Agbaji,Talen Horton-Tucker,Lauri Markkanen,Kelly Olynyk,Walker Kessler,310,69,+9.8,71,122.3,64,57.6%,9,17.7%,100,44.2%,46,18.7,56,112.5,73,51.7%,2,7.6%,84,20.6%,88,13.3
CHI,Coby White,Ayo Dosunmu,Zach LaVine,Patrick Williams,Nikola Vucevic,307,17,-11.1,12,104.6,14,50.0%,55,13.0%,22,21.0%,20,15.1,41,115.6,45,55.4%,51,13.6%,69,22.8%,80,14.7
GSW,Jordan Poole,Donte DiVincenzo,Klay Thompson,Draymond Green,Kevon Looney,306,36,-1.3,49,117.0,40,54.6%,54,13.1%,87,34.1%,12,13.7,30,118.3,76,51.4%,10,9.5%,21,30.6%,44,19.6
CHA,Terry Rozier,Jalen McDaniels,Kelly Oubre,PJ Washington,Mason Plumlee,301,50,+3.3,22,108.3,13,49.3%,79,11.3%,49,25.9%,31,16.5,83,105.1,84,49.8%,76,15.8%,39,27.0%,32,21.3
CLE,Darius Garland,Donovan Mitchell,Lamar Stevens,Evan Mobley,Jarrett Allen,301,32,-3.4,46,115.6,86,61.7%,15,16.3%,53,26.5%,5,12.1,28,119.1,21,58.9%,49,13.4%,61,24.3%,95,11.6
IND,Andrew Nembhard,Tyrese Haliburton,Buddy Hield,Jalen Smith,Myles Turner,286,35,-1.8,27,110.1,43,55.1%,28,15.0%,24,21.5%,16,14.6,59,112.0,66,52.8%,48,13.4%,34,27.7%,17,24.1
MIA,Gabe Vincent,Tyler Herro,Caleb Martin,Jimmy Butler,Bam Adebayo,280,89,+19.0,79,123.9,48,55.5%,62,12.5%,56,27.0%,94,31.6,84,104.9,58,53.7%,90,17.5%,68,23.0%,60,17.4
HOU,Jalen Green,Eric Gordon,Kenyon Martin Jr.,Jabari Smith Jr.,Alperen Sengun,280,15,-12.0,66,120.7,77,59.7%,33,14.3%,50,26.1%,52,19.8,3,132.7,12,61.0%,10,9.3%,25,29.5%,13,24.8
UTA,Collin Sexton,Jordan Clarkson,Lauri Markkanen,Jarred Vanderbilt,Kelly Olynyk,278,81,+14.6,94,132.4,97,67.4%,13,16.9%,83,32.4%,67,21.7,31,117.8,47,55.2%,42,13.0%,20,31.3%,35,21.0
ORL,Cole Anthony,Jalen Suggs,Franz Wagner,Bol Bol,Moritz Wagner,278,67,+9.4,34,112.2,26,52.6%,30,14.7%,39,24.2%,92,28.6,89,102.9,68,52.5%,97,19.8%,52,25.5%,74,15.5
MEM,Ja Morant,Dillon Brooks,Desmond Bane,Jaren Jackson,Steven Adams,276,74,+11.9,44,114.9,12,49.1%,76,11.6%,93,36.5%,56,20.4,89,102.9,90,48.6%,28,11.6%,76,21.9%,61,17.3
LAC,Terance Mann,Paul George,Kawhi Leonard,Marcus Morris,Ivica Zubac,268,77,+13.3,95,133.6,91,63.5%,96,8.6%,36,23.9%,36,17.3,24,120.3,36,56.7%,5,8.1%,70,22.6%,54,18.1
CHI,Coby White,Ayo Dosunmu,DeMar DeRozan,Patrick Williams,Andre Drummond,266,58,+6.0,59,119.2,56,56.8%,83,10.9%,66,28.6%,29,16.4,50,113.2,31,57.2%,96,19.8%,41,26.7%,62,17.1
PHX,Chris Paul,Devin Booker,Josh Okogie,Kevin Durant,Deandre Ayton,258,84,+15.5,64,120.2,79,59.8%,58,12.8%,40,24.3%,64,21.4,85,104.6,92,47.9%,50,13.5%,20,31.0%,62,17.0
NOP,CJ McCollum,Trey Murphy III,Brandon Ingram,Herbert Jones,Larry Nance Jr.,258,82,+14.7,81,124.8,70,58.6%,52,13.2%,42,24.8%,80,24.6,67,110.1,30,57.3%,94,19.0%,49,25.9%,12,25.1
PHI,James Harden,Tyrese Maxey,De'Anthony Melton,Tobias Harris,Joel Embiid,253,57,+5.8,57,118.6,30,53.1%,28,15.0%,58,27.1%,99,38.0,53,112.8,49,54.9%,61,14.4%,64,23.9%,5,29.4
CHI,Patrick Beverley,Zach LaVine,DeMar DeRozan,Patrick Williams,Nikola Vucevic,252,2,-31.6,3,97.6,11,49.1%,33,14.3%,3,13.5%,38,17.4,7,129.2,8,62.3%,66,14.8%,13,33.0%,25,22.5
WAS,Monte Morris,Corey Kispert,Deni Avdija,Kyle Kuzma,Kristaps Porzingis,251,36,-1.4,19,106.8,40,54.7%,66,12.4%,2,12.2%,34,17.0,73,108.2,86,49.4%,28,11.7%,29,28.7%,86,13.8
MIL,Jrue Holiday,Grayson Allen,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,251,79,+14.0,98,137.5,96,66.2%,76,11.6%,51,26.3%,68,21.8,16,123.4,21,58.7%,7,8.7%,75,22.0%,56,17.7
LAL,Dennis Schroder,Patrick Beverley,Troy Brown,LeBron James,Thomas Bryant,250,87,+18.2,94,132.0,90,62.7%,95,8.8%,62,27.7%,46,18.8,47,113.8,58,53.7%,59,14.2%,24,29.6%,83,14.3
ATL,Dejounte Murray,Bogdan Bogdanovic,AJ Griffin,Jalen Johnson,Onyeka Okongwu,249,46,+2.1,45,115.3,54,56.3%,26,15.3%,88,34.2%,6,12.1,49,113.2,56,54.0%,27,11.6%,70,22.6%,56,17.8
WAS,Monte Morris,Bradley Beal,Kyle Kuzma,Kristaps Porzingis,Daniel Gafford,247,58,+6.0,56,118.2,77,59.7%,16,16.2%,51,26.2%,21,15.2,58,112.3,76,51.3%,4,7.9%,62,24.1%,56,17.8
BKN,Kyrie Irving,Royce O'Neale,Joe Harris,Kevin Durant,Nicolas Claxton,245,66,+8.1,15,105.7,39,54.6%,60,12.7%,6,15.7%,35,17.0,96,97.6,90,48.3%,86,16.8%,82,21.1%,19,23.5
NYK,Immanuel Quickley,Quentin Grimes,RJ Barrett,Julius Randle,Mitchell Robinson,244,17,-10.5,17,106.6,14,50.0%,87,10.7%,55,26.7%,29,16.4,35,117.1,56,54.0%,20,10.8%,35,27.6%,98,10.0
NYK,Jalen Brunson,RJ Barrett,Cameron Reddish,Julius Randle,Isaiah Hartenstein,243,23,-7.8,37,112.8,11,48.9%,76,11.5%,72,29.5%,88,26.7,23,120.6,18,59.6%,84,16.5%,32,28.0%,12,25.6
NOP,CJ McCollum,Naji Marshall,Trey Murphy III,Herbert Jones,Jonas Valanciunas,242,72,+11.4,76,123.6,60,57.3%,21,15.7%,96,37.7%,64,21.4,59,112.1,48,55.0%,29,11.7%,73,22.3%,62,17.1
BOS,Derrick White,Jaylen Brown,Jayson Tatum,Grant Williams,Al Horford,237,73,+11.7,54,117.7,41,54.9%,60,12.7%,48,25.7%,52,20.0,80,106.1,72,51.9%,19,10.8%,84,20.6%,98,10.2
IND,Andrew Nembhard,Tyrese Haliburton,Bennedict Mathurin,Buddy Hield,Myles Turner,236,81,+14.5,74,122.9,73,58.9%,67,12.3%,52,26.5%,76,23.2,72,108.4,87,49.0%,69,15.0%,8,34.7%,36,20.7
LAC,Russell Westbrook,Paul George,Kawhi Leonard,Marcus Morris,Ivica Zubac,235,78,+13.6,23,108.5,32,53.6%,38,14.0%,37,24.1%,21,15.2,98,94.9,96,45.8%,66,14.8%,59,24.6%,81,14.6
SAS,Tre Jones,Romeo Langford,Keldon Johnson,Jeremy Sochan,Jakob Poeltl,233,27,-5.8,51,117.2,17,50.4%,96,8.6%,89,34.6%,33,16.7,17,123.0,15,60.6%,21,11.1%,39,27.1%,95,11.5
NOP,CJ McCollum,Brandon Ingram,Herbert Jones,Zion Williamson,Jonas Valanciunas,232,69,+10.1,66,120.7,42,55.0%,75,11.6%,88,34.2%,39,17.8,64,110.5,62,53.1%,44,13.1%,64,23.9%,33,21.3
NYK,Jalen Brunson,Evan Fournier,RJ Barrett,Julius Randle,Mitchell Robinson,231,21,-8.8,23,108.7,21,51.1%,42,13.9%,74,30.1%,8,12.8,33,117.4,24,58.3%,58,14.0%,34,27.7%,21,23.2
BOS,Marcus Smart,Malcolm Brogdon,Jaylen Brown,Jayson Tatum,Al Horford,229,18,-10.4,40,114.0,59,57.1%,1,20.5%,74,30.1%,97,33.9,14,124.3,36,56.7%,69,15.0%,22,30.4%,30,21.6
BKN,Kyrie Irving,Seth Curry,Royce O'Neale,Joe Harris,Nicolas Claxton,228,52,+4.2,50,117.1,72,58.9%,99,7.5%,10,18.2%,18,14.9,52,112.9,88,48.8%,13,10.3%,20,31.1%,37,20.5
NYK,Jalen Brunson,Immanuel Quickley,Quentin Grimes,Julius Randle,Isaiah Hartenstein,225,83,+15.3,96,134.2,57,57.0%,70,12.0%,98,39.3%,87,26.5,28,118.9,86,49.5%,16,10.6%,13,33.1%,34,21.1
SAC,De'Aaron Fox,Malik Monk,Harrison Barnes,Keegan Murray,Domantas Sabonis,223,78,+13.8,92,130.9,61,57.3%,86,10.8%,75,30.2%,91,28.3,34,117.1,16,60.2%,56,14.0%,88,19.6%,48,19.4
IND,Tyrese Haliburton,Aaron Nesmith,Buddy Hield,Jalen Smith,Myles Turner,210,42,+0.6,68,121.4,71,58.6%,93,9.5%,16,19.6%,27,16.2,22,120.9,11,61.4%,31,11.8%,96,16.7%,47,19.4
GSW,Stephen Curry,Jordan Poole,Klay Thompson,Draymond Green,Kevon Looney,209,62,+7.6,44,114.8,54,56.3%,72,12.0%,14,19.2%,11,13.7,75,107.2,62,53.2%,13,10.1%,98,14.6%,82,14.6
NYK,Immanuel Quickley,Josh Hart,RJ Barrett,Obi Toppin,Isaiah Hartenstein,208,40,-0.5,13,104.8,27,52.6%,15,16.3%,59,27.3%,74,22.8,82,105.3,53,54.4%,68,14.9%,86,20.0%,43,19.8
OKC,Isaiah Joe,Jalen Williams,Luguentz Dort,Josh Giddey,Jaylin Williams,207,19,-9.9,33,112.1,23,51.6%,90,10.1%,27,22.4%,54,20.2,20,122.0,4,64.2%,77,16.0%,79,21.5%,41,20.0
CHI,Alex Caruso,Ayo Dosunmu,Zach LaVine,Patrick Williams,Nikola Vucevic,206,47,+2.3,39,113.6,59,57.1%,80,11.2%,30,22.9%,14,14.2,62,111.3,26,58.1%,66,14.8%,83,20.7%,78,15.0
LAC,Reggie Jackson,Luke Kennard,Paul George,Marcus Morris,Ivica Zubac,203,72,+11.3,25,109.4,74,59.2%,7,18.2%,18,20.0%,15,14.3,95,98.0,89,48.6%,32,11.9%,93,17.6%,90,12.7
CHA,Terry Rozier,Kelly Oubre,Gordon Hayward,PJ Washington,Nick Richards,203,28,-4.5,45,115.3,53,56.2%,57,12.8%,37,24.0%,13,14.1,25,119.8,27,57.8%,21,11.1%,44,26.4%,23,22.9
CHI,Alex Caruso,Ayo Dosunmu,Zach LaVine,DeMar DeRozan,Nikola Vucevic,203,68,+9.7,73,122.7,47,55.4%,43,13.8%,34,23.7%,75,23.1,52,113.0,40,56.1%,91,17.8%,29,28.6%,53,18.2
MEM,Ja Morant,Dillon Brooks,Desmond Bane,Santi Aldama,Steven Adams,203,77,+13.4,49,116.7,20,51.0%,21,15.8%,99,42.6%,30,16.5,88,103.4,70,52.1%,89,17.4%,88,19.6%,21,23.2
OKC,Shai Gilgeous-Alexander,Jalen Williams,Luguentz Dort,Josh Giddey,Aleksej Pokusevski,201,5,-24.5,12,104.5,38,54.6%,25,15.4%,11,18.4%,9,13.2,8,129.0,15,60.5%,20,11.0%,24,29.9%,57,17.7
MIA,Kyle Lowry,Max Strus,Caleb Martin,Jimmy Butler,Bam Adebayo,198,89,+18.7,91,130.3,78,59.7%,31,14.6%,88,34.4%,90,28.0,61,111.6,53,54.4%,71,15.2%,32,28.0%,89,13.2
CLE,Darius Garland,Caris LeVert,Isaac Okoro,Evan Mobley,Jarrett Allen,197,61,+7.1,90,129.9,88,62.2%,52,13.2%,91,35.5%,13,14.1,17,122.8,19,59.3%,73,15.2%,17,31.8%,27,22.1
