Team,PG,SG,SF,PF,C,Poss,Diff Rank,Diff,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
POR,Damian Lillard,Gary Trent Jr.,Rodney Hood,Robert Covington,Enes Kanter,120,78,+14.0,64,118.3,45,54.7%,95,9.2%,66,27.5%,8,11.0,79,104.3,42,54.7%,76,15.5%,80,19.3%,100,4.7
DET,Delon Wright,Frank Jackson,Saddiq Bey,Jerami Grant,Mason Plumlee,120,49,+3.3,27,106.7,14,49.5%,17,16.7%,47,24.1%,97,31.6,82,103.4,62,52.6%,73,15.3%,87,17.9%,31,19.4
HOU,Kevin Porter,Danuel House,Sterling Brown,Jae'Sean Tate,Christian Wood,120,12,-16.5,24,105.8,65,57.6%,24,15.8%,6,15.4%,80,22.8,15,122.3,6,63.1%,78,15.7%,26,27.5%,42,17.5
MIA,Goran Dragic,Duncan Robinson,Jimmy Butler,Trevor Ariza,Bam Adebayo,120,74,+10.9,51,115.0,88,61.7%,32,15.0%,1,11.1%,86,24.5,81,104.1,52,53.4%,85,16.4%,38,25.4%,36,18.6
ORL,Markelle Fultz,Dwayne Bacon,Evan Fournier,Aaron Gordon,Nikola Vucevic,119,7,-22.9,12,100.8,19,50.5%,41,14.3%,4,13.8%,29,15.5,12,123.8,5,63.6%,37,12.3%,40,25.0%,92,10.0
WAS,Russell Westbrook,Raul Neto,Bradley Beal,Rui Hachimura,Alex Len,118,86,+18.1,93,131.4,62,57.3%,89,10.2%,92,33.3%,67,19.8,42,113.2,60,52.7%,38,12.4%,54,23.3%,33,19.1
CHI,Coby White,Zach LaVine,Patrick Williams,Lauri Markkanen,Thaddeus Young,118,25,-8.6,37,110.2,36,53.2%,6,18.6%,74,29.5%,15,12.7,24,118.8,89,48.6%,12,9.4%,22,27.9%,0,36.5
ORL,Cole Anthony,Dwayne Bacon,James Ennis,Aaron Gordon,Nikola Vucevic,117,90,+23.1,53,115.4,46,55.0%,62,12.8%,64,27.1%,11,11.7,95,92.2,85,49.5%,94,19.0%,92,17.0%,71,13.7
DAL,Josh Richardson,Tim Hardaway Jr.,Luka Doncic,Maxi Kleber,Kristaps Porzingis,117,73,+10.5,83,123.9,96,64.2%,37,14.5%,12,17.6%,3,9.4,42,113.4,40,55.0%,10,9.2%,45,24.6%,72,13.6
DAL,Jalen Brunson,Tim Hardaway Jr.,Luka Doncic,Dorian Finney-Smith,Willie Cauley-Stein,116,99,+43.1,100,159.5,100,67.7%,93,9.5%,74,29.4%,92,25.9,32,116.4,28,56.9%,70,14.7%,27,27.1%,36,18.6
BOS,Kemba Walker,Marcus Smart,Jaylen Brown,Jayson Tatum,Tristan Thompson,116,33,-4.3,94,132.8,97,65.4%,49,13.8%,59,26.1%,47,17.3,1,137.1,4,64.6%,13,9.5%,28,26.9%,21,21.7
NOP,Kira Lewis Jr.,Naji Marshall,Zion Williamson,James Johnson,Jaxson Hayes,115,73,+10.4,41,112.2,40,54.0%,8,18.3%,92,33.3%,66,19.8,87,101.7,54,53.1%,57,13.8%,99,12.8%,56,15.5
HOU,James Harden,John Wall,David Nwaba,PJ Tucker,Christian Wood,115,7,-23.0,7,96.5,29,52.2%,12,17.4%,2,12.1%,27,15.1,23,119.5,48,53.8%,73,15.3%,4,35.1%,3,28.6
WAS,Raul Neto,Bradley Beal,Deni Avdija,Rui Hachimura,Robin Lopez,115,19,-11.4,84,125.2,91,62.6%,46,13.9%,73,29.2%,69,20.2,2,136.6,1,67.2%,53,13.4%,74,20.5%,6,26.0
SAS,Dejounte Murray,Patty Mills,Keldon Johnson,DeMar DeRozan,Jakob Poeltl,114,10,-18.5,20,104.4,16,50.0%,58,13.2%,68,27.8%,97,30.4,14,122.9,62,52.7%,45,12.8%,10,30.5%,50,16.2
UTA,Mike Conley,Donovan Mitchell,Royce O'Neale,Joe Ingles,Rudy Gobert,114,100,+45.5,99,143.9,86,61.3%,80,11.4%,86,31.4%,100,46.4,91,98.3,93,45.9%,64,14.3%,39,25.4%,49,16.5
MIA,Kendrick Nunn,Duncan Robinson,Jimmy Butler,KZ Okpala,Kelly Olynyk,113,56,+5.6,42,112.4,25,51.4%,92,9.7%,16,18.6%,56,18.1,68,106.8,22,58.6%,99,22.2%,17,28.6%,44,17.2
