Team,PG,SG,SF,PF,C,Poss,Diff Rank,Diff,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
CHA,LaMelo Ball,Terry Rozier,Miles Bridges,PJ Washington,Mason Plumlee,690,65,+8.6,76,120.4,90,61.8%,49,13.5%,30,22.2%,21,13.5,47,111.8,37,55.3%,57,14.0%,44,26.3%,72,13.8
NOP,Devonte' Graham,Josh Hart,Brandon Ingram,Herbert Jones,Jonas Valanciunas,689,76,+12.7,58,114.9,46,53.8%,58,12.9%,48,25.4%,72,21.0,85,102.3,68,51.5%,45,13.1%,91,18.8%,39,18.8
PHI,James Harden,Tyrese Maxey,Matisse Thybulle,Tobias Harris,Joel Embiid,660,89,+20.3,83,123.3,76,58.2%,84,10.9%,24,21.2%,87,26.7,82,103.0,71,51.0%,82,16.0%,37,26.9%,37,18.9
SAS,Dejounte Murray,Derrick White,Keldon Johnson,Doug McDermott,Jakob Poeltl,657,55,+5.1,49,112.8,33,52.4%,94,9.4%,61,26.8%,20,13.3,66,107.7,51,53.3%,61,14.2%,35,27.2%,61,15.8
WAS,Spencer Dinwiddie,Bradley Beal,Kentavious Caldwell-Pope,Kyle Kuzma,Daniel Gafford,655,33,-6.1,14,101.4,16,49.3%,35,14.4%,47,25.4%,37,15.4,67,107.5,86,48.7%,27,11.5%,30,27.9%,35,19.0
POR,Damian Lillard,CJ McCollum,Norman Powell,Robert Covington,Jusuf Nurkic,576,46,+1.6,53,113.9,55,54.9%,71,11.8%,42,24.5%,28,14.3,46,112.3,22,57.0%,40,12.8%,87,19.9%,83,12.2
DET,Cory Joseph,Cade Cunningham,Saddiq Bey,Jerami Grant,Isaiah Stewart,552,53,+4.2,55,114.3,42,53.4%,51,13.4%,82,30.9%,61,19.4,56,110.1,54,53.0%,64,14.5%,26,28.6%,32,19.7
OKC,Shai Gilgeous-Alexander,Luguentz Dort,Josh Giddey,Darius Bazley,Jeremiah Robinson-Earl,533,12,-17.6,4,95.7,8,46.4%,62,12.6%,17,19.1%,22,13.5,41,113.3,43,54.5%,52,13.6%,33,27.3%,77,13.1
DET,Killian Hayes,Cade Cunningham,Saddiq Bey,Jerami Grant,Isaiah Stewart,525,12,-17.8,6,97.0,5,45.3%,12,17.0%,84,31.2%,25,14.0,34,114.7,33,55.7%,49,13.4%,35,27.2%,38,18.9
CHI,Ayo Dosunmu,Zach LaVine,Javonte Green,DeMar DeRozan,Nikola Vucevic,521,34,-5.4,60,115.7,68,56.9%,89,10.4%,15,18.3%,58,19.1,16,121.2,13,58.8%,20,11.1%,49,25.6%,68,14.6
PHI,Tyrese Maxey,Seth Curry,Matisse Thybulle,Tobias Harris,Joel Embiid,500,19,-12.4,30,106.8,18,50.0%,80,11.2%,12,17.0%,88,26.8,19,119.2,41,54.8%,20,11.1%,42,26.4%,53,17.0
ATL,Trae Young,Bogdan Bogdanovic,DeAndre Hunter,John Collins,Clint Capela,492,62,+7.6,72,119.5,67,56.7%,60,12.6%,70,28.6%,35,15.3,47,111.9,52,53.3%,35,12.5%,59,24.2%,56,16.5
PHI,Tyrese Maxey,Seth Curry,Danny Green,Tobias Harris,Joel Embiid,491,72,+10.8,58,115.3,41,53.4%,79,11.2%,23,20.9%,70,20.4,76,104.5,71,50.9%,25,11.4%,81,20.7%,62,15.7
ATL,Trae Young,Kevin Huerter,DeAndre Hunter,Danilo Gallinari,Clint Capela,479,50,+2.6,77,120.7,68,57.0%,95,9.2%,35,23.2%,40,15.7,22,118.0,14,58.3%,33,12.0%,62,23.7%,69,14.5
CLE,Darius Garland,Isaac Okoro,Lauri Markkanen,Evan Mobley,Jarrett Allen,455,71,+10.2,62,116.7,78,58.6%,19,16.0%,69,28.3%,49,17.2,71,106.5,81,49.9%,41,12.9%,54,24.8%,54,16.9
UTA,Mike Conley,Jordan Clarkson,Joe Ingles,Rudy Gay,Rudy Gobert,450,86,+18.4,78,120.9,58,55.1%,38,14.2%,80,30.1%,77,22.1,84,102.4,83,49.3%,19,10.9%,76,21.8%,87,11.7
UTA,Donovan Mitchell,Jordan Clarkson,Royce O'Neale,Bojan Bogdanovic,Hassan Whiteside,449,59,+6.7,78,120.7,56,54.9%,44,13.8%,90,32.9%,68,20.1,37,114.0,72,50.8%,35,12.4%,41,26.4%,40,18.5
LAC,Reggie Jackson,Amir Coffey,Nicolas Batum,Marcus Morris,Ivica Zubac,446,15,-13.5,32,107.2,24,50.9%,73,11.7%,29,21.9%,33,15.2,16,120.7,30,56.1%,11,9.6%,66,23.3%,31,19.7
MEM,Ja Morant,Desmond Bane,Ziaire Williams,Jaren Jackson,Steven Adams,429,57,+6.2,75,120.0,48,54.1%,53,13.3%,97,36.5%,41,15.8,39,113.8,39,55.1%,19,11.1%,35,27.2%,81,12.4
TOR,Fred VanVleet,Gary Trent Jr.,Scottie Barnes,Pascal Siakam,Khem Birch,384,38,-2.7,45,112.0,27,51.3%,56,13.0%,76,29.5%,59,19.2,35,114.7,10,60.0%,69,15.0%,86,19.9%,67,14.8
ATL,Trae Young,Kevin Huerter,DeAndre Hunter,John Collins,Clint Capela,381,52,+4.0,61,116.5,71,57.4%,39,14.2%,68,28.2%,27,14.2,43,112.6,45,54.3%,38,12.6%,68,22.8%,34,19.2
MEM,Tyus Jones,Dillon Brooks,Desmond Bane,Jaren Jackson,Steven Adams,379,73,+11.2,60,116.1,32,52.2%,67,12.1%,91,33.2%,58,19.0,74,104.9,74,50.6%,55,13.8%,37,27.1%,48,17.9
LAC,Reggie Jackson,Terance Mann,Nicolas Batum,Marcus Morris,Ivica Zubac,365,65,+8.8,57,114.8,44,53.6%,59,12.9%,77,29.6%,18,12.8,73,106.0,63,52.2%,37,12.5%,39,26.7%,95,9.4
BKN,James Harden,Joe Harris,Bruce Brown,Kevin Durant,Blake Griffin,362,56,+5.8,25,105.2,56,55.0%,12,16.9%,14,18.0%,42,15.8,89,99.4,76,50.5%,89,16.8%,76,21.8%,74,13.7
HOU,Kevin Porter,Jalen Green,Jae'Sean Tate,Christian Wood,Daniel Theis,360,3,-26.4,1,83.3,4,44.8%,0,23.1%,50,25.8%,23,13.8,57,109.7,45,54.2%,36,12.5%,82,20.6%,63,15.4
LAC,Eric Bledsoe,Reggie Jackson,Nicolas Batum,Paul George,Ivica Zubac,357,26,-8.8,24,105.0,41,53.1%,27,15.1%,16,18.9%,51,17.5,39,113.8,29,56.1%,54,13.8%,67,23.1%,86,12.0
DEN,Monte Morris,Will Barton,Michael Porter,Aaron Gordon,Nikola Jokic,355,72,+10.7,27,105.9,69,57.0%,7,17.7%,24,21.4%,4,9.2,95,95.2,86,48.4%,59,14.1%,91,19.0%,89,11.1
MEM,Ja Morant,De'Anthony Melton,Desmond Bane,Jaren Jackson,Steven Adams,351,62,+7.9,63,117.1,38,52.8%,41,14.0%,97,36.4%,47,17.0,59,109.2,32,55.9%,71,15.1%,39,26.7%,92,10.2
ATL,Trae Young,Bogdan Bogdanovic,Kevin Huerter,John Collins,Clint Capela,333,98,+30.3,92,129.7,90,61.7%,80,11.1%,83,31.1%,20,13.3,90,99.4,91,47.0%,26,11.4%,49,25.7%,87,11.8
SAS,Dejounte Murray,Devin Vassell,Keldon Johnson,Doug McDermott,Jakob Poeltl,328,44,0.0,57,114.9,57,55.1%,86,10.7%,27,21.8%,27,14.1,34,114.9,27,56.3%,44,13.1%,44,26.2%,73,13.7
DET,Killian Hayes,Hamidou Diallo,Cade Cunningham,Saddiq Bey,Isaiah Stewart,326,17,-13.2,15,101.8,28,51.6%,31,14.7%,17,19.6%,30,14.5,34,115.1,49,53.6%,38,12.6%,38,26.8%,28,20.1
MIN,D'Angelo Russell,Anthony Edwards,Jaden McDaniels,Jarred Vanderbilt,Karl-Anthony Towns,325,39,-2.6,42,111.1,39,53.1%,22,15.7%,71,28.7%,48,17.0,39,113.7,34,55.6%,76,15.5%,22,29.4%,58,16.3
CHI,Lonzo Ball,Zach LaVine,Javonte Green,DeMar DeRozan,Nikola Vucevic,324,45,+0.9,35,108.3,61,55.7%,54,13.3%,18,19.9%,12,10.8,68,107.5,45,54.1%,62,14.3%,80,20.9%,62,15.4
MIA,Gabe Vincent,Duncan Robinson,Jimmy Butler,PJ Tucker,Bam Adebayo,324,60,+7.1,39,110.2,45,53.8%,22,15.7%,70,28.3%,40,15.8,82,103.1,51,53.5%,83,16.1%,92,18.6%,56,16.5
ORL,Cole Anthony,Gary Harris,Franz Wagner,Wendell Carter,Mohamed Bamba,322,56,+5.8,69,118.3,70,57.1%,33,14.6%,61,26.8%,29,14.5,43,112.5,22,56.9%,65,14.6%,58,24.4%,92,10.4
ATL,Trae Young,Timothe Luwawu-Cabarrot,Kevin Huerter,John Collins,Clint Capela,311,69,+10.0,79,121.2,53,54.6%,43,13.8%,96,35.8%,56,18.6,50,111.3,61,52.3%,12,9.6%,91,18.8%,50,17.3
DEN,Monte Morris,Austin Rivers,Aaron Gordon,Jeff Green,Nikola Jokic,309,85,+17.1,84,123.6,78,58.6%,60,12.6%,56,26.4%,95,29.9,71,106.5,73,50.7%,43,13.0%,56,24.6%,88,11.4
TOR,Fred VanVleet,Gary Trent Jr.,OG Anunoby,Scottie Barnes,Precious Achiuwa,307,63,+7.9,39,110.4,25,51.0%,65,12.4%,78,29.9%,9,10.2,84,102.5,61,52.3%,66,14.8%,65,23.3%,80,12.6
TOR,Fred VanVleet,Gary Trent Jr.,Scottie Barnes,Pascal Siakam,Precious Achiuwa,297,81,+14.5,68,118.2,35,52.5%,67,12.1%,93,34.4%,73,21.2,78,103.7,96,45.8%,40,12.8%,58,24.4%,20,22.1
PHX,Cameron Payne,Devin Booker,Mikal Bridges,Jae Crowder,Deandre Ayton,294,80,+13.7,85,123.8,82,59.4%,70,11.9%,40,24.2%,32,15.1,57,110.1,43,54.4%,88,16.8%,23,29.3%,34,19.2
NOP,CJ McCollum,Brandon Ingram,Herbert Jones,Jaxson Hayes,Jonas Valanciunas,294,60,+7.1,83,123.5,76,58.2%,42,13.9%,95,34.6%,81,23.0,28,116.3,17,57.8%,93,17.7%,28,28.4%,47,17.9
IND,Malcolm Brogdon,Caris LeVert,Chris Duarte,Domantas Sabonis,Myles Turner,292,78,+13.1,82,123.3,77,58.5%,34,14.4%,59,26.6%,81,23.1,56,110.2,53,53.1%,30,11.9%,42,26.3%,85,12.0
CHA,LaMelo Ball,Terry Rozier,Cody Martin,Miles Bridges,Mason Plumlee,289,68,+9.9,89,126.6,86,60.6%,33,14.5%,86,31.9%,53,17.8,27,116.7,28,56.3%,74,15.3%,39,26.8%,32,19.7
BKN,Kyrie Irving,Seth Curry,Bruce Brown,Kevin Durant,Andre Drummond,280,45,+1.1,71,118.9,55,54.8%,63,12.5%,90,32.9%,29,14.5,23,117.9,31,56.0%,61,14.3%,11,31.7%,33,19.5
DAL,Luka Doncic,Jalen Brunson,Dorian Finney-Smith,Maxi Kleber,Dwight Powell,279,16,-13.3,27,106.1,46,53.8%,15,16.5%,44,25.0%,56,18.7,18,119.4,12,58.8%,50,13.6%,27,28.5%,94,9.8
ATL,Trae Young,Bogdan Bogdanovic,Kevin Huerter,DeAndre Hunter,Clint Capela,275,68,+9.7,78,120.7,77,58.3%,84,10.9%,24,21.2%,70,20.7,51,111.1,52,53.1%,41,12.9%,30,27.8%,64,15.2
HOU,Kevin Porter,Jalen Green,Garrison Mathews,Jae'Sean Tate,Christian Wood,273,28,-7.9,34,107.7,63,56.3%,2,19.8%,54,26.2%,65,19.7,31,115.6,27,56.3%,80,15.9%,14,31.2%,41,18.5
NOP,Devonte' Graham,Nickeil Alexander-Walker,Garrett Temple,Josh Hart,Jonas Valanciunas,270,33,-6.0,20,104.1,42,53.4%,4,18.5%,62,26.9%,33,15.1,56,110.1,66,51.9%,60,14.2%,17,30.7%,49,17.7
POR,Anfernee Simons,CJ McCollum,Norman Powell,Robert Covington,Jusuf Nurkic,267,13,-16.0,16,102.2,18,49.6%,65,12.4%,33,22.9%,26,14.0,21,118.3,19,57.3%,15,10.3%,78,21.5%,43,18.4
OKC,Shai Gilgeous-Alexander,Luguentz Dort,Aaron Wiggins,Josh Giddey,Jeremiah Robinson-Earl,266,20,-11.5,49,112.8,52,54.5%,48,13.5%,52,26.0%,59,19.1,9,124.2,8,60.3%,47,13.3%,25,28.9%,83,12.1
PHX,Chris Paul,Devin Booker,Mikal Bridges,Jae Crowder,JaVale McGee,263,90,+20.6,57,114.8,72,57.4%,71,11.8%,19,20.0%,11,10.7,97,94.2,92,46.7%,81,16.0%,47,25.9%,68,14.6
MEM,Ja Morant,De'Anthony Melton,Ziaire Williams,Kyle Anderson,Steven Adams,257,92,+23.3,79,121.0,64,56.4%,17,16.3%,96,35.6%,35,15.2,94,97.7,94,46.3%,49,13.5%,84,20.0%,57,16.4
DET,Cory Joseph,Hamidou Diallo,Cade Cunningham,Saddiq Bey,Isaiah Stewart,250,4,-23.8,5,96.0,4,44.9%,59,12.8%,60,26.7%,17,12.7,18,119.8,23,56.7%,61,14.2%,8,32.5%,15,23.8
DEN,Monte Morris,Austin Rivers,Will Barton,Aaron Gordon,Nikola Jokic,249,90,+20.5,81,122.5,59,55.6%,88,10.4%,44,25.0%,86,25.3,86,102.0,64,52.1%,34,12.2%,92,18.3%,40,18.7
WAS,Tomas Satoransky,Kentavious Caldwell-Pope,Corey Kispert,Rui Hachimura,Kristaps Porzingis,247,67,+9.4,74,119.8,87,60.8%,84,10.9%,1,11.5%,73,21.2,53,110.4,63,52.1%,16,10.4%,64,23.4%,79,12.8
WAS,Spencer Dinwiddie,Bradley Beal,Kentavious Caldwell-Pope,Kyle Kuzma,Montrezl Harrell,246,47,+1.8,39,110.2,33,52.4%,17,16.3%,43,24.6%,83,24.2,62,108.4,67,51.7%,31,12.0%,62,23.7%,13,25.0
UTA,Donovan Mitchell,Royce O'Neale,Bojan Bogdanovic,Joe Ingles,Hassan Whiteside,245,44,+0.6,67,118.0,58,55.4%,5,18.0%,76,29.4%,55,18.3,24,117.3,44,54.3%,74,15.3%,8,32.5%,54,16.8
SAC,Davion Mitchell,Justin Holiday,Harrison Barnes,Trey Lyles,Damian Jones,243,4,-25.4,11,98.8,25,51.0%,86,10.7%,7,14.5%,30,14.6,10,124.2,11,59.6%,41,12.9%,16,30.7%,70,14.2
PHX,Chris Paul,Landry Shamet,Mikal Bridges,Jae Crowder,Deandre Ayton,241,69,+10.0,40,110.8,57,55.0%,69,12.0%,5,13.2%,80,22.9,88,100.8,60,52.4%,86,16.7%,55,24.6%,93,9.9
ATL,Delon Wright,Lou Williams,Bogdan Bogdanovic,Danilo Gallinari,Onyeka Okongwu,234,93,+23.5,82,122.6,79,58.7%,98,8.1%,14,17.8%,73,21.2,90,99.2,97,44.6%,48,13.4%,11,31.7%,76,13.4
MEM,Ja Morant,Dillon Brooks,Desmond Bane,Jaren Jackson,Steven Adams,232,95,+25.1,75,120.3,66,56.6%,58,12.9%,72,28.7%,57,18.9,95,95.2,92,46.9%,67,14.9%,81,20.7%,48,17.9
UTA,Mike Conley,Jordan Clarkson,Joe Ingles,Eric Paschall,Rudy Gobert,231,89,+19.9,65,117.3,74,57.6%,12,16.9%,84,31.2%,24,13.8,94,97.4,76,50.0%,16,10.7%,93,18.0%,98,7.0
MEM,Tyus Jones,Desmond Bane,John Konchar,Brandon Clarke,Jaren Jackson,231,18,-12.6,14,101.7,9,46.8%,78,11.3%,40,24.2%,77,22.0,36,114.3,36,55.3%,72,15.2%,13,31.4%,58,16.3
HOU,Kevin Porter,Jalen Green,Garrison Mathews,Jae'Sean Tate,Alperen Sengun,229,29,-7.8,66,117.9,47,53.9%,77,11.4%,44,24.8%,48,17.1,8,125.8,11,59.3%,47,13.3%,23,29.2%,19,22.5
BOS,Marcus Smart,Jaylen Brown,Jayson Tatum,Grant Williams,Robert Williams,225,100,+33.3,95,132.4,95,63.0%,32,14.7%,81,30.7%,31,14.6,91,99.1,82,49.5%,80,15.9%,61,23.8%,69,14.3
DEN,Bryn Forbes,Nah'Shon Hyland,Austin Rivers,JaMychal Green,DeMarcus Cousins,224,77,+12.7,88,126.3,84,60.1%,27,15.2%,93,33.9%,65,19.7,40,113.6,76,50.0%,39,12.7%,43,26.3%,6,28.9
SAS,Dejounte Murray,Derrick White,Keldon Johnson,Doug McDermott,Drew Eubanks,224,19,-11.9,11,98.7,23,50.8%,51,13.4%,13,17.4%,17,12.4,52,110.6,67,51.6%,9,9.3%,84,20.2%,90,10.9
SAC,De'Aaron Fox,Tyrese Haliburton,Harrison Barnes,Maurice Harkless,Richaun Holmes,223,47,+1.8,45,112.1,63,56.2%,62,12.6%,18,19.8%,47,16.9,55,110.3,55,53.0%,7,8.9%,51,25.2%,97,8.2
MIA,Tyler Herro,Duncan Robinson,Jimmy Butler,PJ Tucker,Bam Adebayo,219,52,+3.6,47,112.3,31,52.2%,54,13.2%,21,20.4%,92,28.6,60,108.7,85,48.7%,72,15.1%,14,31.0%,11,26.0
DAL,Luka Doncic,Tim Hardaway Jr.,Dorian Finney-Smith,Kristaps Porzingis,Dwight Powell,218,11,-18.5,3,95.0,6,45.6%,82,11.0%,38,24.0%,37,15.5,40,113.5,2,64.2%,78,15.8%,98,15.1%,100,2.7
CLE,Darius Garland,Isaac Okoro,Dean Wade,Evan Mobley,Jarrett Allen,218,88,+19.3,70,118.8,91,62.0%,19,16.1%,61,26.9%,46,16.8,89,99.5,95,46.1%,53,13.8%,68,22.9%,21,22.1
MIN,D'Angelo Russell,Anthony Edwards,Malik Beasley,Jarred Vanderbilt,Karl-Anthony Towns,216,74,+11.4,98,135.2,99,66.1%,80,11.1%,50,25.8%,57,18.9,10,123.8,5,61.5%,39,12.6%,60,23.9%,18,22.5
MIN,D'Angelo Russell,Anthony Edwards,Malik Beasley,Jaden McDaniels,Karl-Anthony Towns,215,84,+16.3,71,119.1,59,55.6%,30,14.9%,65,27.6%,67,19.9,83,102.8,59,52.5%,94,18.3%,71,22.4%,25,20.8
CHI,Coby White,Zach LaVine,Javonte Green,DeMar DeRozan,Nikola Vucevic,214,70,+10.2,83,123.4,91,62.0%,40,14.0%,23,21.1%,62,19.6,41,113.2,95,46.0%,11,9.5%,5,34.8%,9,26.5
CHA,LaMelo Ball,Terry Rozier,Kelly Oubre,Miles Bridges,Mason Plumlee,211,22,-10.4,32,107.1,26,51.1%,54,13.3%,48,25.5%,51,17.5,24,117.5,12,58.9%,94,18.0%,22,29.3%,59,16.2
ORL,Cole Anthony,R.J. Hampton,Franz Wagner,Wendell Carter,Mohamed Bamba,210,23,-10.2,26,105.7,40,53.1%,43,13.8%,28,21.9%,66,19.9,31,115.9,41,54.8%,32,12.0%,75,21.9%,40,18.6
OKC,Shai Gilgeous-Alexander,Luguentz Dort,Josh Giddey,Darius Bazley,Derrick Favors,209,8,-20.7,8,97.6,10,47.4%,25,15.3%,44,24.8%,23,13.7,21,118.3,40,54.9%,16,10.3%,32,27.7%,69,14.3
HOU,Armoni Brooks,Eric Gordon,Garrison Mathews,Jae'Sean Tate,Christian Wood,207,36,-3.7,51,113.0,36,52.6%,68,12.1%,46,25.2%,50,17.2,27,116.7,35,55.5%,47,13.3%,27,28.4%,35,19.1
TOR,Fred VanVleet,Gary Trent Jr.,Scottie Barnes,Pascal Siakam,Chris Boucher,206,91,+22.3,86,124.3,68,56.8%,86,10.7%,63,27.1%,66,19.8,86,101.9,87,48.1%,81,16.0%,18,30.4%,56,16.6
MIN,Patrick Beverley,Anthony Edwards,Malik Beasley,Jarred Vanderbilt,Karl-Anthony Towns,205,31,-7.3,62,116.6,62,56.1%,1,21.5%,87,32.3%,88,26.7,10,123.9,9,60.3%,86,16.6%,51,25.3%,3,30.6
BOS,Dennis Schroder,Marcus Smart,Jayson Tatum,Al Horford,Robert Williams,205,14,-15.7,4,95.6,7,46.0%,55,13.2%,55,26.3%,16,12.2,49,111.3,37,55.2%,53,13.8%,52,25.0%,74,13.7
ATL,Trae Young,Timothe Luwawu-Cabarrot,Kevin Huerter,DeAndre Hunter,Clint Capela,203,38,-2.8,68,118.2,51,54.4%,91,9.9%,52,26.0%,78,22.4,16,121.0,33,55.9%,57,14.0%,66,23.2%,15,23.5
NOP,Devonte' Graham,Nickeil Alexander-Walker,Brandon Ingram,Herbert Jones,Jonas Valanciunas,201,60,+7.0,35,109.0,41,53.2%,15,16.4%,67,27.7%,16,12.4,86,102.0,75,50.6%,91,17.4%,26,28.6%,79,12.8
BKN,James Harden,Patty Mills,DeAndre' Bembry,Kevin Durant,LaMarcus Aldridge,198,59,+6.6,64,117.2,90,61.6%,73,11.6%,10,16.7%,2,8.5,53,110.6,62,52.2%,28,11.6%,51,25.3%,32,19.6
NOP,Devonte' Graham,CJ McCollum,Herbert Jones,Jaxson Hayes,Jonas Valanciunas,196,96,+27.6,93,131.1,70,57.1%,89,10.2%,95,35.1%,75,21.7,80,103.6,74,50.6%,22,11.2%,95,17.2%,33,19.5
MIA,Gabe Vincent,Tyler Herro,Max Strus,Caleb Martin,Dewayne Dedmon,195,51,+3.4,50,112.8,88,60.8%,16,16.4%,34,23.2%,12,10.8,58,109.4,88,47.9%,60,14.1%,4,35.7%,60,16.0
DAL,Luka Doncic,Jalen Brunson,Tim Hardaway Jr.,Dorian Finney-Smith,Dwight Powell,191,78,+13.2,90,127.7,74,57.8%,39,14.1%,49,25.6%,96,30.5,36,114.6,39,55.1%,58,14.1%,75,21.8%,5,29.1
DAL,Luka Doncic,Jalen Brunson,Reggie Bullock,Dorian Finney-Smith,Maxi Kleber,191,57,+5.9,58,115.2,18,49.7%,47,13.6%,89,32.7%,61,19.5,59,109.3,90,47.5%,25,11.3%,20,29.7%,14,24.2
LAL,Russell Westbrook,Malik Monk,Avery Bradley,Stanley Johnson,LeBron James,190,65,+8.8,85,124.2,85,60.2%,38,14.2%,67,27.9%,52,17.5,33,115.4,36,55.5%,54,13.8%,29,28.1%,66,14.9
CHI,Lonzo Ball,Alex Caruso,Zach LaVine,DeMar DeRozan,Nikola Vucevic,189,90,+20.6,73,119.6,34,52.4%,36,14.3%,22,20.5%,98,32.9,92,99.0,96,45.6%,42,13.0%,87,19.6%,5,29.6
MIA,Kyle Lowry,Tyler Herro,Duncan Robinson,PJ Tucker,Dewayne Dedmon,189,59,+6.9,73,119.6,66,56.6%,30,14.8%,73,29.0%,45,16.7,43,112.6,23,56.9%,84,16.3%,47,25.8%,66,15.0
SAC,De'Aaron Fox,Justin Holiday,Harrison Barnes,Trey Lyles,Domantas Sabonis,188,40,-2.2,67,118.1,81,59.1%,24,15.4%,63,27.2%,79,22.6,17,120.3,8,60.4%,24,11.2%,94,17.5%,73,13.7
CHA,LaMelo Ball,Terry Rozier,Cody Martin,Miles Bridges,PJ Washington,188,51,+3.1,87,125.0,80,59.0%,90,10.1%,51,25.8%,56,18.6,15,121.9,15,58.0%,85,16.6%,9,32.2%,36,18.9
