Team,PG,SG,SF,PF,C,Poss,Diff Rank,Diff,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
League Averages,,,,,,,,,,112.3,,53.4%,,13.9%,,26.2%,,19.2,,112.3,,53.4%,,13.9%,,26.2%,,19.2
DEN,Monte Morris,Will Barton,Aaron Gordon,Jeff Green,Nikola Jokic,1563,70,+10.0,82,122.9,85,60.1%,47,13.6%,42,24.5%,53,17.8,42,112.9,35,55.6%,33,12.0%,63,23.5%,86,11.9
PHX,Chris Paul,Devin Booker,Mikal Bridges,Jae Crowder,Deandre Ayton,1544,63,+8.1,69,118.3,69,57.1%,88,10.4%,22,20.6%,46,16.8,55,110.2,66,51.8%,48,13.3%,46,26.0%,44,18.3
UTA,Mike Conley,Donovan Mitchell,Royce O'Neale,Bojan Bogdanovic,Rudy Gobert,1363,64,+8.2,73,119.7,81,59.1%,42,13.9%,50,25.8%,74,21.4,48,111.5,54,53.1%,29,11.8%,42,26.4%,69,14.3
BOS,Marcus Smart,Jaylen Brown,Jayson Tatum,Al Horford,Robert Williams,907,94,+24.3,71,119.1,83,59.7%,49,13.5%,54,26.1%,22,13.5,96,94.8,94,46.5%,66,14.7%,66,23.2%,83,12.2
MIN,D'Angelo Russell,Patrick Beverley,Anthony Edwards,Jarred Vanderbilt,Karl-Anthony Towns,899,77,+12.9,77,120.7,69,57.0%,44,13.8%,91,33.0%,44,16.3,65,107.8,62,52.2%,67,14.9%,26,28.9%,53,16.9
ORL,Cole Anthony,Jalen Suggs,Franz Wagner,Wendell Carter,Mohamed Bamba,884,42,-1.2,16,102.3,22,50.5%,18,16.2%,66,27.7%,39,15.6,80,103.5,86,48.5%,33,12.1%,55,24.6%,62,15.6
NYK,Alec Burks,Evan Fournier,RJ Barrett,Julius Randle,Mitchell Robinson,873,46,+1.6,61,116.3,44,53.5%,41,14.0%,86,32.1%,68,20.1,35,114.6,29,56.1%,29,11.8%,75,21.9%,44,18.3
NYK,Kemba Walker,Evan Fournier,RJ Barrett,Julius Randle,Mitchell Robinson,852,16,-13.4,21,104.3,20,50.4%,35,14.3%,49,25.7%,30,14.5,23,117.8,27,56.3%,27,11.4%,55,24.7%,63,15.3
MIA,Kyle Lowry,Duncan Robinson,Jimmy Butler,PJ Tucker,Bam Adebayo,836,78,+12.9,42,111.1,45,53.8%,58,12.9%,35,23.5%,67,20.0,93,98.2,88,48.0%,70,15.1%,69,22.8%,51,17.2
CHA,LaMelo Ball,Terry Rozier,Gordon Hayward,Miles Bridges,Mason Plumlee,802,41,-1.5,29,106.6,37,52.8%,66,12.3%,31,22.4%,9,10.2,63,108.1,51,53.5%,53,13.7%,59,24.4%,55,16.8
GSW,Stephen Curry,Jordan Poole,Andrew Wiggins,Draymond Green,Kevon Looney,739,61,+7.6,44,111.6,73,57.5%,7,17.7%,69,28.3%,47,16.9,77,104.0,72,50.8%,48,13.3%,71,22.7%,50,17.3
MIL,Jrue Holiday,Grayson Allen,Khris Middleton,Giannis Antetokounmpo,Bobby Portis,736,62,+7.8,62,116.7,75,57.9%,78,11.3%,34,23.1%,54,18.1,60,108.9,42,54.6%,29,11.7%,94,17.6%,85,12.1
HOU,Kevin Porter,Jalen Green,Eric Gordon,Jae'Sean Tate,Christian Wood,731,49,+2.2,48,112.6,58,55.1%,41,14.0%,36,23.5%,64,19.7,54,110.4,57,52.8%,37,12.6%,41,26.5%,52,17.0
DAL,Luka Doncic,Jalen Brunson,Reggie Bullock,Dorian Finney-Smith,Dwight Powell,708,82,+14.7,90,128.0,95,63.1%,65,12.4%,33,23.1%,80,23.0,41,113.3,50,53.5%,24,11.3%,40,26.7%,51,17.1
TOR,Fred VanVleet,Gary Trent Jr.,OG Anunoby,Scottie Barnes,Pascal Siakam,700,47,+1.8,38,109.6,40,53.1%,57,13.0%,27,21.7%,49,17.2,66,107.8,46,54.1%,89,16.9%,19,30.0%,65,15.2
