err_cat,count,team_net_rating_mean,shock_star_mean,shock_star_per_nr_mean,star_cluster_share
Exact,40,0.9466512621319918,4.489794529873759,1.0620324224983615,0.525
Over,22,8.117808443687448,4.844566070782339,0.6601215245117072,0.5454545454545454
Under,22,7.777541833487987,5.236679703068427,0.7221698274422071,0.5909090909090909
