Model,Macro-F1,increment
A: Controls,0.3148868249054007,0.3148868249054007
B: + Dispersion,0.3867264239028945,0.07183959899749381
C: + Connectivity,0.3333728885493591,-0.05335353535353543
D: + Full,0.342031746031746,0.008658857482386928
