team,year,gini_coefficient,top_1_share,top_3_share,top_5_share,salary_mean,salary_std,salary_cv,num_players
ATL,2021,-1.8915886954739507,0.16927809965453813,0.4644296580265533,0.639598383802152,7199690.9375,5868325.129886364,0.8150801445268794,16
BOS,2021,-0.8485397578936561,0.26290198703051737,0.5755746571908845,0.7540861701025738,7264874.722222222,9147684.739899531,1.2591662058422095,18
BRK,2021,-3.4388356923119936,0.2476856431961045,0.6830758818544576,0.8483329099864859,7931505.333333333,12996450.36024736,1.6385855917700567,21
CHO,2021,-1.9642287124441364,0.2660218173359791,0.5863282333995152,0.7421790192419647,6695879.375,7581719.903530414,1.1322963689934176,16
CHI,2021,-1.8581762676787337,0.20317565264258966,0.4614040927031426,0.615512043787729,8531205.933333334,6415953.117369738,0.7520569972764544,15
CLE,2021,-1.3392668013477138,0.24704754598075318,0.5648227756213348,0.7272357327377474,5751240.363636363,8371373.648896368,1.4555770789596005,22
DAL,2021,-1.6689803145820468,0.23449413332566854,0.48904868041485783,0.6636876526494118,7854087.75,7373726.80428271,0.9388393711647428,16
DEN,2021,-1.5301865965974344,0.2299357610666413,0.5834660692624933,0.768112112847097,8029962.875,9072067.137919152,1.1297769714681467,16
DET,2021,-1.544364429143561,0.28407347148508155,0.5592730394295855,0.6782799145321441,6389302.666666667,7758703.930295617,1.2143271864037979,18
GSW,2021,-1.26473505706679,0.25396038695380935,0.6372265874244807,0.8534858961464177,10583924.75,13690676.503998224,1.2935349435471206,16
HOU,2021,-1.8667783754814367,0.32208272624401657,0.5554001241740422,0.7304333486077326,5336998.416666667,8807626.832859727,1.650295942632247,24
IND,2021,-0.6251678640533698,0.16189337350478858,0.45361428325013226,0.6741936448873544,7521290.294117647,6907357.198129651,0.9183739661706517,17
LAC,2021,-0.7718937584686615,0.25799886152866414,0.616520836779343,0.7809346719250372,8587831.5,10916393.734979492,1.2711467074056462,16
LAL,2021,-1.1363401572501826,0.2864336433810993,0.6424128157585177,0.7982004085032997,7206512.684210527,10737757.363619067,1.4900074188650911,19
MEM,2021,-0.8045706588945412,0.12740798066250278,0.34247251880368784,0.5271975953142415,6509673.85,5159401.467151362,0.7925744954413289,20
MIA,2021,-0.7718838820843454,0.2597957246343206,0.5545106316778006,0.7645894628523837,7784192.764705882,9210632.306320507,1.1832482294223505,17
MIL,2021,-0.923152562790353,0.2502509022475182,0.6546004297806663,0.8110820841095218,7337463.611111111,10135666.061835794,1.3813582729715168,18
MIN,2021,-1.6825906876415548,0.2286274000812615,0.5827993892748737,0.7626684533469427,8592670.866666667,9215838.410754832,1.0725231483618909,15
NOP,2021,-0.78329007560403,0.22314531253680733,0.5561361740188525,0.7601148085530272,7800956.0,9152916.901633587,1.1733070794955884,17
NYK,2021,-0.7558092150621659,0.18884915107510422,0.3478689892087998,0.47385080745202346,4003195.12,3882467.281463274,0.9698421298693214,25
OKC,2021,-0.8855241943633299,0.28887612114792227,0.46115133521431956,0.5594372336004106,3525796.8518518517,5126637.160991698,1.454036456552804,27
ORL,2021,-0.7886574268221732,0.2494426506440297,0.53540940012746,0.7074695640097928,5710578.95,7206914.37828067,1.2620286736917752,20
PHI,2021,-1.0111272668401725,0.23506522361526214,0.6462461673371221,0.8169851377979852,8598076.705882354,11300045.618213229,1.3142527107815087,17
PHO,2021,-1.5191372084262844,0.32536482892257823,0.6359964547433022,0.7815966707867091,7944699.75,10980437.934311934,1.3821086107517069,16
POR,2021,-1.5004363132849479,0.24265581262312344,0.5667628943747838,0.743261919821803,8146042.5,9353083.829802092,1.1481751819735893,16
SAC,2021,-1.4598287427479593,0.2354091428295439,0.5328975957247842,0.6955109894647649,5246574.9,6685837.685656398,1.2743242616542836,20
SAS,2021,-0.8258827974643148,0.21546134949623202,0.458185691236167,0.6742819221714224,6776151.2105263155,7136218.097221595,1.0531373748177193,19
TOR,2021,-1.105200924462245,0.23851850095408728,0.6424339314749784,0.7754914794176522,6406043.95,9353692.369267238,1.4601355286154785,20
UTA,2021,-0.7179353111212047,0.2541823664722424,0.5870571606174689,0.7518038690866518,8484098.5625,9872953.325188885,1.163700922668163,16
WAS,2021,-0.8934540001728282,0.31895619179200696,0.6563667185828512,0.7769298555890601,7203847.888888889,10695443.55583714,1.484684813005788,18
ATL,2022,-2.0388456284618695,0.17198623969502383,0.45968930805441693,0.6513400356470644,5572151.208333333,6962669.105858536,1.2495477680945986,24
BOS,2022,-2.352600910154078,0.209277962490033,0.5952417111300098,0.8113282119282783,5595339.5,8934634.14356265,1.596799290474269,24
BRK,2022,8.480282651999902,0.2370093559409808,0.6304145473997889,0.7784894917032651,7193615.458333333,11605119.45795845,1.6132526856873728,24
CHO,2022,-1.601128794196642,0.24927473339307152,0.49838505791687054,0.6531383859698834,7061662.823529412,7297199.84623298,1.0333543286602074,17
CHI,2022,-1.6157678577975934,0.1920627256769345,0.5133984397902672,0.7226400756118448,6153292.7727272725,8100373.720107642,1.3164291086571167,22
CLE,2022,-2.2214355866257205,0.23057145639918994,0.5071841252240157,0.6829197902629803,5648692.833333333,7798600.4192325575,1.3806026720398865,24
DAL,2022,-1.4450618742052561,0.17231928040361055,0.4403627679317221,0.6122590710887507,5151971.375,5940043.21232136,1.1529651040270696,24
DEN,2022,-1.070652034643758,0.2230660050688433,0.5584784246327665,0.7374118089959145,7198818.736842105,9094657.30858667,1.2633541197588494,19
DET,2022,-3.0417517713698485,0.2305408888181148,0.4799306539907823,0.6453938835679098,4781689.888888889,6848829.188505306,1.4323030869107143,27
GSW,2022,-1.7243181942120058,0.25670866289906896,0.6467546664982975,0.8328814092682993,10490483.529411765,14200298.132610532,1.3536361877693914,17
HOU,2022,-1.5798858306070545,0.34323943375908933,0.5902299177249527,0.7141082660605317,5612869.826086956,9334931.551177846,1.6631298854984753,23
IND,2022,-1.7690656132093208,0.1662509014639835,0.4584087004917992,0.6817060157487551,5878300.391304348,7162244.016507024,1.2184208937505114,23
LAC,2022,-2.5099402469689327,0.23583492369929704,0.5653435684989038,0.7361297400563092,8341633.5,11641833.813841276,1.3956299822859966,20
LAL,2022,-3.055871165955298,0.2704114908485331,0.7385696872686237,0.8272569747979659,7785514.80952381,13490619.149309425,1.7327844695390875,21
MEM,2022,-2.1734255240408658,0.1474772660927351,0.33869694995139205,0.5009515872478058,3992005.3448275863,4310805.473034879,1.0798596446320794,29
MIA,2022,-1.9417485796164944,0.25760458406585596,0.6516172333276826,0.812976827524897,6355088.7727272725,10213434.123503443,1.6071269007813356,22
MIL,2022,3.640708616137581,0.2479920507346552,0.6616801243872852,0.8067959239996723,6346166.32,11107739.422632333,1.7503070141143626,25
MIN,2022,-0.8184614513778635,0.23269497379341839,0.5591636120424431,0.7600273108876561,8001032.294117647,9606742.459178142,1.2006878745185183,17
NOP,2022,-2.242084958936954,0.2292637644489786,0.5521489228553403,0.7135877879855936,5609295.708333333,8435528.908310559,1.5038481383283986,24
NYK,2022,-1.112109184338972,0.16539776646689094,0.42091206326187236,0.5740804191172719,5204843.956521739,5506714.132242381,1.057997930051754,23
OKC,2022,-0.8365982785788151,0.3258152044575492,0.5208802302926849,0.6325821115180279,2776951.9655172415,4902150.866562698,1.7652991219996172,29
ORL,2022,-2.01573686642368,0.16331964207269598,0.4336300224984353,0.593653305232536,4823514.923076923,5660055.623568138,1.1734296905538721,26
PHI,2022,-1.761742426409013,0.29940219818670033,0.7559993951528075,0.854849775345512,7399885.55,12904234.286985166,1.7438424148310194,20
PHO,2022,-1.3386124487580486,0.23316621906477028,0.5531316141703675,0.6874364937981761,6463935.619047619,8692887.471591026,1.3448289067074302,21
POR,2022,-1.6395229355012781,0.3189658440340046,0.5667242895527489,0.7612903008227256,5139643.833333333,8562940.17596431,1.6660571147808092,24
SAC,2022,-0.9722967149629278,0.21671890394114549,0.5158007155259533,0.6768506185401277,6483859.85,7388138.207945019,1.1394660555386649,20
SAS,2022,-1.439213583853538,0.1469276729215085,0.37717186983683904,0.5491840485021784,5280422.625,5263345.700701272,0.9967659928927132,24
TOR,2022,-1.5751626592631114,0.24654202918527232,0.5135776166893291,0.7390993199523391,6084881.0,8380629.671720035,1.3772873572581017,22
UTA,2022,-1.6490447768468046,0.23849098445711367,0.5698192923863497,0.7784670249876476,7410097.3,10135356.07297647,1.3677763816915698,20
WAS,2022,-1.6615790230938616,0.2653473715139846,0.616971169145184,0.7874479525208842,5525849.217391305,9192319.277170224,1.6635125055963473,23
ATL,2023,-0.8339802609755607,0.24958330457135774,0.5335490918818298,0.7661417723862698,9289608.75,10250457.680589484,1.1034326586240226,16
BOS,2023,-1.1873326738577301,0.17271505198517764,0.4870611776319071,0.7150040318206118,10983329.0625,10689664.333193462,0.9732626849623228,16
BRK,2023,-1.4708571649720357,0.22504715549387572,0.47644916450446656,0.6769530909435785,8290349.52631579,9140512.562763762,1.102548515445498,19
CHO,2023,-0.7153724332814251,0.24148663460002515,0.515182053943433,0.6736343262359094,6918947.444444444,7717122.074663105,1.1153607014112463,18
CHI,2023,-1.0003431361722426,0.24826750985643062,0.5782066748968531,0.7693765324310624,8789499.11764706,10620262.796606755,1.2082898757318254,17
CLE,2023,-0.9272167579269094,0.2071254990743799,0.5249976382115265,0.7107051730872695,8779488.235294119,9320615.703996243,1.0616354227262081,17
DAL,2023,-2.26337340530565,0.22463986617378232,0.5519206463966461,0.7269212876961444,9117999.368421054,11499914.555670394,1.2612322167403058,19
DEN,2023,-0.8486094978657835,0.2076923265944602,0.6008844372279604,0.812647986299716,10607935.8,11723753.835917303,1.1051871030287819,15
DET,2023,-0.9889568870721452,0.15441692473315471,0.3365009391826928,0.49144043290512346,5754786.045454546,4895075.317001498,0.8506094367952922,22
GSW,2023,-1.71676757031218,0.25366435521180813,0.6453049609562017,0.8252840059752476,11843902.4375,15286435.57009439,1.2906586870974797,16
HOU,2023,-3.798505336797329,0.29904279400908107,0.44461967434050675,0.5787091812640682,5061428.444444444,7673023.400911226,1.5159798237063564,27
IND,2023,-1.0658626522085568,0.28711285601222525,0.5316749228003761,0.6519152767740669,5552061.318181818,7765412.355255306,1.3986539251332175,22
LAC,2023,-1.2530768265855385,0.222253588470999,0.5468579223511484,0.7201454780705532,12745948.533333333,13128556.413668301,1.030017999785137,15
LAL,2023,-1.7826741173968859,0.2656606407589442,0.6799567746277158,0.8344135256192439,9300710.333333334,13569004.870089801,1.4589213494219992,18
MEM,2023,-0.638549599024161,0.22830550512286543,0.4880035362715689,0.6972882919053525,7458170.882352941,7680004.948741297,1.0297437628994592,17
MIA,2023,-0.9077566412406337,0.25254762166230305,0.6461594954603799,0.8182121864829833,9318366.3125,11780604.43137202,1.26423495667573,16
MIL,2023,-1.7172202555101301,0.23747614933965075,0.6376987233681074,0.7760199146359916,10525513.235294119,13449526.565169202,1.2778024467320312,17
MIN,2023,-0.8178227276035684,0.26597332541953056,0.6597408489710695,0.7957074578217509,8969981.75,11545355.534680068,1.2871102591351502,16
NOP,2023,-0.6654200408497803,0.2262337930944754,0.5408159577464408,0.715452007351992,9822680.2,9836950.73639568,1.0014528149247575,15
NYK,2023,-1.0615375639887903,0.1888684040059072,0.4732606490951985,0.6882313851263686,8157747.055555556,8671345.134851258,1.0629583236398503,18
OKC,2023,-3.823450307376878,0.2081881000150078,0.4958101317793381,0.6246491275831833,5939580.6,7615931.1924589025,1.282233831873399,25
ORL,2023,-0.6248745056998569,0.1390028583621108,0.38385559449996687,0.591561015041052,6954293.444444444,5756926.792493585,0.8278233926255447,18
PHI,2023,-1.0695911854183526,0.2516057117155154,0.6969897512243725,0.8222809789497032,8798325.0,12320912.96163916,1.4003702933955224,17
PHO,2023,-1.5958765287283976,0.2560229122974359,0.6317439490771192,0.8516737420324847,10136924.764705881,13919499.648536567,1.3731481659014202,17
POR,2023,-3.883622135506314,0.29460463156630723,0.5946443755533263,0.7446624830732734,5769426.2,9630517.25169977,1.669233112246027,25
SAC,2023,-1.543005610491293,0.22544728532300348,0.49917900405028137,0.6902534180446457,6119507.545454546,7810552.8955916595,1.2763368355339622,22
SAS,2023,-1.0115511094666587,0.13526934359483622,0.3767866079768893,0.5146875551652977,3764779.5555555555,3759648.2369620632,0.9986370201713617,27
TOR,2023,-3.6231762748216427,0.23713839271516746,0.4963948864330793,0.69739906500154,6228548.583333333,8703740.225968597,1.3973946112034044,24
UTA,2023,-4.481255760458014,0.31296570874740265,0.5358866993147399,0.7126315623884122,5916976.04,9718726.344144477,1.6425157510261739,25
WAS,2023,-1.2005813148473514,0.2885163945249279,0.6098924293179415,0.7573863260204959,8333678.166666667,11527661.919918036,1.3832621910007006,18
ATL,2024,-1.0684997040916024,0.2547652473292194,0.5136069833070224,0.7483402275811104,9250550.647058824,10431541.177851599,1.127667052033088,17
BOS,2024,-1.5214548079378536,0.200685206435192,0.5742508772520862,0.847485342437494,11479952.75,13930188.62605782,1.2134360593128592,16
BRK,2024,-1.1610543964040168,0.24776024676976569,0.5575428599427641,0.7297433545843992,8496881.0,10071458.21302702,1.1853123767447162,18
CHO,2024,-1.1780718083872934,0.21426644371196166,0.4265294366145311,0.5837580602368951,6596713.238095238,6705952.911382009,1.016559712290649,21
CHI,2024,-1.5402168183402036,0.23891941131615566,0.5315148710505097,0.7082085333036499,9316070.166666666,10697340.35419981,1.1482674736044167,18
CLE,2024,-2.2113223992117383,0.20708212241726937,0.5308234860129066,0.7127371400953026,8210571.15,10147934.540080873,1.2359596372392283,20
DAL,2024,-1.0373095107620822,0.24484476087707283,0.5805679922357063,0.7593226679205439,10226944.375,11932216.074350428,1.1667430306474535,16
