team,year,reg_games,reg_wins,reg_losses,reg_win_pct,playoff_games,playoff_wins,playoff_losses,total_games,pts_per_game,opp_pts_per_game,net_rating,srs
MIN,2025,82,49,33,0.598,0,0,0,82,114.3,109.3,5.0,5.15
NOP,2025,82,21,61,0.256,0,0,0,82,109.8,119.3,-9.5,-8.59
NYK,2025,82,51,31,0.622,0,0,0,82,115.8,111.7,4.099999999999994,3.59
OKC,2025,82,68,14,0.829,0,0,0,82,120.5,107.6,12.900000000000006,12.7
ORL,2025,82,41,41,0.5,0,0,0,82,105.4,105.5,-0.09999999999999432,-0.7
PHI,2025,82,24,58,0.293,0,0,0,82,109.6,115.8,-6.200000000000003,-6.29
PHO,2025,82,36,46,0.439,0,0,0,82,113.6,116.6,-3.0,-2.55
POR,2025,82,36,46,0.439,0,0,0,82,110.9,113.9,-3.0,-2.67
SAC,2025,82,40,42,0.488,0,0,0,82,115.7,115.3,0.4000000000000057,0.58
SAS,2025,82,34,48,0.415,0,0,0,82,113.9,116.7,-2.799999999999997,-2.45
TOR,2025,82,30,52,0.366,0,0,0,82,110.9,115.2,-4.299999999999997,-4.4
UTA,2025,82,17,65,0.207,0,0,0,82,111.9,121.2,-9.299999999999997,-8.51
WAS,2025,82,18,64,0.22,0,0,0,82,108.0,120.4,-12.400000000000006,-12.14
